"","Year","Species","Participants"
"311",2018,"Kingfishes",515
"312",2018,"Oyster",623
"313",2018,"Red Drum",579
"314",2018,"Shrimp, Brown",381
"315",2018,"Shrimp, Pink",20
"316",2018,"Shrimp, White",320
"317",2018,"Southern Flounder",912
"318",2018,"Spotted Seatrout",536
"319",2018,"Striped Bass",274
"320",2018,"Striped Mullet",687
"321",2019,"Bay Scallop",1
"322",2019,"Blue Crab",655
"323",2019,"Hard Clams",318
"324",2019,"Kingfishes",530
"325",2019,"Oyster",600
"326",2019,"Red Drum",432
"327",2019,"Shrimp, Brown",247
"328",2019,"Shrimp, Pink",8
"329",2019,"Shrimp, White",309
"330",2019,"Southern Flounder",781
"331",2019,"Spotted Seatrout",694
"332",2019,"Striped Bass",194
"333",2019,"Striped Mullet",632
"334",2020,"Bay Scallop",2
"335",2020,"Blue Crab",565
"336",2020,"Hard Clams",302
"337",2020,"Kingfishes",552
"338",2020,"Oyster",566
"339",2020,"Red Drum",617
"340",2020,"Shrimp, Brown",246
"341",2020,"Shrimp, Pink",25
"342",2020,"Shrimp, White",338
"343",2020,"Southern Flounder",522
"344",2020,"Spotted Seatrout",719
"345",2020,"Striped Bass",163
"346",2020,"Striped Mullet",610
"347",2021,"Blue Crab",562
"348",2021,"Hard Clams",278
"349",2021,"Kingfishes",543
"350",2021,"Oyster",564
"351",2021,"Red Drum",593
"352",2021,"Shrimp, Brown",245
"353",2021,"Shrimp, Pink",16
"354",2021,"Shrimp, White",286
"355",2021,"Southern Flounder",541
"356",2021,"Spotted Seatrout",676
"357",2021,"Striped Bass",130
"358",2021,"Striped Mullet",664
