"","year","season","n_scw","n_tsw","buoy"
"71",1998,"spring",6,0,"duck"
"72",1998,"summer",6,0,"duck"
"73",1998,"winter",12,0,"duck"
"74",1999,"fall",5,0,"duck"
"75",1999,"spring",11,0,"duck"
"76",1999,"summer",6,3,"duck"
"77",1999,"winter",16,0,"duck"
"78",2000,"fall",13,0,"duck"
"79",2000,"spring",7,1,"duck"
"80",2000,"summer",4,0,"duck"
"81",2000,"winter",14,0,"duck"
"82",2001,"fall",6,0,"duck"
"83",2001,"spring",4,0,"duck"
"84",2001,"summer",6,0,"duck"
"85",2001,"winter",7,0,"duck"
"86",2002,"fall",10,0,"duck"
"87",2002,"spring",4,0,"duck"
"88",2002,"summer",4,0,"duck"
"89",2002,"winter",8,0,"duck"
"90",2003,"fall",8,0,"duck"
"91",2003,"spring",4,0,"duck"
"92",2003,"summer",4,1,"duck"
"93",2003,"winter",11,0,"duck"
"94",2004,"fall",13,0,"duck"
"95",2004,"spring",2,0,"duck"
"96",2004,"summer",4,0,"duck"
"97",2004,"winter",13,0,"duck"
"98",2005,"fall",7,0,"duck"
"99",2005,"spring",10,0,"duck"
"100",2005,"summer",6,0,"duck"
"101",2005,"winter",16,0,"duck"
"102",2006,"fall",9,0,"duck"
"103",2006,"spring",6,0,"duck"
"104",2006,"summer",3,0,"duck"
"105",2006,"winter",8,0,"duck"
"106",2007,"fall",10,0,"duck"
"107",2007,"spring",11,0,"duck"
"108",2007,"summer",4,0,"duck"
"109",2007,"winter",4,0,"duck"
"110",2008,"fall",8,0,"duck"
"111",2008,"spring",7,0,"duck"
"112",2008,"summer",7,0,"duck"
"113",2008,"winter",14,0,"duck"
"114",2009,"fall",13,0,"duck"
"115",2009,"spring",4,0,"duck"
"116",2009,"summer",7,0,"duck"
"117",2009,"winter",8,0,"duck"
"118",2010,"fall",11,0,"duck"
"119",2010,"spring",1,0,"duck"
"120",2010,"summer",3,0,"duck"
"121",2010,"winter",12,0,"duck"
"122",2011,"fall",8,0,"duck"
"123",2011,"spring",3,0,"duck"
"124",2011,"summer",3,1,"duck"
"125",2011,"winter",9,0,"duck"
"126",2012,"fall",17,1,"duck"
"127",2012,"spring",8,0,"duck"
"128",2012,"summer",0,0,"duck"
"129",2012,"winter",9,0,"duck"
"130",2013,"fall",16,0,"duck"
"131",2013,"spring",7,0,"duck"
"132",2013,"summer",4,0,"duck"
"133",2013,"winter",10,0,"duck"
"134",2014,"fall",9,0,"duck"
"135",2014,"spring",6,0,"duck"
"136",2014,"summer",6,0,"duck"
"137",2014,"winter",15,0,"duck"
"138",2015,"fall",11,0,"duck"
"139",2015,"spring",2,0,"duck"
"140",2015,"summer",7,0,"duck"
"141",2015,"winter",13,0,"duck"
"142",2016,"fall",11,1,"duck"
"143",2016,"spring",7,0,"duck"
"144",2016,"summer",4,1,"duck"
"145",2016,"winter",11,0,"duck"
"146",2017,"fall",3,0,"duck"
"147",2017,"spring",7,0,"duck"
"148",2017,"summer",8,0,"duck"
"149",2017,"winter",8,0,"duck"
"150",2019,"fall",0,0,"duck"
"151",2020,"fall",7,0,"duck"
"152",2020,"spring",9,0,"duck"
"153",2020,"summer",7,0,"duck"
"154",2020,"winter",13,0,"duck"
"155",2021,"fall",10,0,"duck"
"156",2021,"spring",2,0,"duck"
"157",2021,"summer",1,0,"duck"
"158",2021,"winter",11,0,"duck"
"159",2022,"fall",10,0,"duck"
"160",2022,"spring",7,0,"duck"
"161",2022,"summer",6,0,"duck"
"162",2022,"winter",15,0,"duck"
"163",2023,"spring",10,0,"duck"
"164",2023,"summer",0,0,"duck"
"165",2023,"winter",6,0,"duck"
"166",2010,"fall",15,0,"hatteras"
"167",2010,"spring",0,0,"hatteras"
"168",2010,"summer",2,0,"hatteras"
"169",2011,"fall",6,0,"hatteras"
"170",2011,"spring",0,0,"hatteras"
"171",2011,"summer",0,1,"hatteras"
"172",2011,"winter",7,0,"hatteras"
"173",2012,"fall",15,1,"hatteras"
"174",2012,"spring",4,0,"hatteras"
"175",2012,"summer",0,0,"hatteras"
"176",2012,"winter",8,0,"hatteras"
"177",2013,"fall",10,0,"hatteras"
"178",2013,"spring",2,0,"hatteras"
"179",2013,"summer",0,0,"hatteras"
"180",2013,"winter",12,0,"hatteras"
"181",2014,"fall",9,0,"hatteras"
"182",2014,"spring",2,0,"hatteras"
"183",2014,"summer",1,0,"hatteras"
"184",2014,"winter",17,0,"hatteras"
"185",2015,"fall",7,0,"hatteras"
"186",2015,"spring",2,0,"hatteras"
"187",2015,"summer",1,0,"hatteras"
"188",2015,"winter",12,0,"hatteras"
"189",2016,"fall",10,0,"hatteras"
"190",2016,"spring",7,0,"hatteras"
"191",2016,"summer",2,0,"hatteras"
"192",2016,"winter",16,0,"hatteras"
"193",2017,"fall",8,0,"hatteras"
"194",2017,"spring",2,0,"hatteras"
"195",2017,"summer",5,0,"hatteras"
"196",2017,"winter",8,0,"hatteras"
"197",2018,"fall",6,0,"hatteras"
"198",2018,"spring",2,0,"hatteras"
"199",2018,"summer",2,0,"hatteras"
"200",2018,"winter",18,0,"hatteras"
"201",2019,"fall",10,0,"hatteras"
"202",2019,"spring",3,0,"hatteras"
"203",2019,"summer",2,0,"hatteras"
"204",2019,"winter",6,0,"hatteras"
"205",2020,"fall",8,0,"hatteras"
"206",2020,"spring",3,0,"hatteras"
"207",2020,"summer",1,0,"hatteras"
"208",2020,"winter",12,0,"hatteras"
"209",2021,"fall",8,0,"hatteras"
"210",2021,"spring",1,0,"hatteras"
"211",2021,"summer",0,0,"hatteras"
"212",2021,"winter",7,0,"hatteras"
"213",2022,"fall",6,0,"hatteras"
"214",2022,"spring",6,0,"hatteras"
"215",2022,"summer",1,0,"hatteras"
"216",2022,"winter",13,0,"hatteras"
"217",2023,"spring",4,0,"hatteras"
"218",2023,"summer",0,0,"hatteras"
"219",2023,"winter",6,0,"hatteras"
"220",2007,"fall",1,0,"oregon"
"221",2008,"fall",3,0,"oregon"
"222",2008,"spring",7,0,"oregon"
"223",2008,"summer",4,0,"oregon"
"224",2008,"winter",2,0,"oregon"
"225",2009,"fall",2,0,"oregon"
"226",2009,"spring",7,0,"oregon"
"227",2009,"summer",3,0,"oregon"
"228",2009,"winter",1,0,"oregon"
"229",2010,"fall",1,0,"oregon"
"230",2010,"spring",7,0,"oregon"
"231",2010,"summer",5,0,"oregon"
"232",2010,"winter",5,0,"oregon"
"233",2011,"fall",2,0,"oregon"
"234",2011,"spring",3,0,"oregon"
"235",2011,"summer",4,0,"oregon"
"236",2011,"winter",1,0,"oregon"
"237",2012,"fall",6,0,"oregon"
"238",2012,"spring",0,0,"oregon"
"239",2012,"summer",4,0,"oregon"
"240",2012,"winter",0,0,"oregon"
"241",2013,"fall",2,0,"oregon"
"242",2013,"spring",9,0,"oregon"
"243",2013,"summer",2,0,"oregon"
"244",2013,"winter",1,0,"oregon"
"245",2014,"fall",3,0,"oregon"
"246",2014,"spring",3,0,"oregon"
"247",2014,"summer",3,0,"oregon"
"248",2014,"winter",5,0,"oregon"
"249",2015,"fall",2,0,"oregon"
"250",2015,"spring",3,0,"oregon"
"251",2015,"summer",1,0,"oregon"
"252",2015,"winter",2,0,"oregon"
"253",2016,"fall",2,0,"oregon"
"254",2016,"spring",4,0,"oregon"
"255",2016,"summer",1,0,"oregon"
"256",2016,"winter",2,0,"oregon"
"257",2017,"fall",0,0,"oregon"
"258",2017,"spring",6,0,"oregon"
"259",2017,"summer",6,0,"oregon"
"260",2017,"winter",2,0,"oregon"
"261",2018,"fall",4,0,"oregon"
"262",2018,"spring",5,0,"oregon"
"263",2018,"summer",1,0,"oregon"
"264",2018,"winter",3,0,"oregon"
"265",2019,"fall",2,0,"oregon"
"266",2019,"spring",3,0,"oregon"
"267",2019,"summer",1,0,"oregon"
"268",2019,"winter",1,0,"oregon"
"269",2020,"fall",0,0,"oregon"
"270",2020,"spring",6,0,"oregon"
"271",2020,"summer",4,0,"oregon"
"272",2020,"winter",3,0,"oregon"
"273",2021,"fall",2,0,"oregon"
"274",2021,"spring",4,0,"oregon"
"275",2021,"summer",4,0,"oregon"
"276",2021,"winter",3,0,"oregon"
"277",2022,"fall",2,0,"oregon"
"278",2022,"spring",4,0,"oregon"
"279",2022,"summer",4,0,"oregon"
"280",2022,"winter",4,0,"oregon"
"281",2023,"spring",4,0,"oregon"
"282",2023,"summer",3,0,"oregon"
"283",2023,"winter",0,0,"oregon"
"284",2005,"fall",2,0,"wrightsville"
"285",2005,"spring",5,0,"wrightsville"
"286",2005,"summer",6,1,"wrightsville"
"287",2005,"winter",4,0,"wrightsville"
"288",2006,"fall",3,0,"wrightsville"
"289",2006,"spring",1,0,"wrightsville"
"290",2006,"summer",1,0,"wrightsville"
"291",2006,"winter",1,0,"wrightsville"
"292",2007,"fall",3,0,"wrightsville"
"293",2007,"spring",5,0,"wrightsville"
"294",2007,"summer",0,0,"wrightsville"
"295",2007,"winter",1,0,"wrightsville"
"296",2008,"fall",3,0,"wrightsville"
"297",2008,"spring",2,0,"wrightsville"
"298",2008,"summer",7,0,"wrightsville"
"299",2008,"winter",3,0,"wrightsville"
"300",2009,"fall",2,0,"wrightsville"
"301",2009,"spring",0,0,"wrightsville"
"302",2009,"summer",0,0,"wrightsville"
"303",2009,"winter",1,0,"wrightsville"
"304",2010,"fall",1,0,"wrightsville"
"305",2010,"spring",1,0,"wrightsville"
"306",2010,"summer",0,0,"wrightsville"
"307",2010,"winter",2,0,"wrightsville"
"308",2011,"fall",3,0,"wrightsville"
"309",2011,"spring",0,0,"wrightsville"
"310",2011,"summer",2,0,"wrightsville"
"311",2011,"winter",1,0,"wrightsville"
"312",2012,"fall",4,0,"wrightsville"
"313",2012,"spring",2,0,"wrightsville"
"314",2012,"summer",1,0,"wrightsville"
"315",2012,"winter",1,0,"wrightsville"
"316",2013,"fall",1,0,"wrightsville"
"317",2013,"spring",6,0,"wrightsville"
"318",2013,"summer",1,0,"wrightsville"
"319",2013,"winter",3,0,"wrightsville"
"320",2014,"fall",0,0,"wrightsville"
"321",2014,"spring",3,0,"wrightsville"
"322",2014,"summer",2,0,"wrightsville"
"323",2014,"winter",3,0,"wrightsville"
"324",2015,"fall",4,0,"wrightsville"
"325",2015,"spring",4,0,"wrightsville"
"326",2015,"summer",4,0,"wrightsville"
"327",2015,"winter",3,0,"wrightsville"
"328",2016,"fall",1,0,"wrightsville"
"329",2016,"spring",1,0,"wrightsville"
"330",2016,"summer",0,0,"wrightsville"
"331",2016,"winter",3,0,"wrightsville"
"332",2017,"fall",0,0,"wrightsville"
"333",2017,"spring",2,0,"wrightsville"
"334",2017,"summer",3,0,"wrightsville"
"335",2017,"winter",2,0,"wrightsville"
"336",2018,"fall",7,0,"wrightsville"
"337",2018,"spring",0,0,"wrightsville"
"338",2018,"summer",4,1,"wrightsville"
"339",2018,"winter",2,0,"wrightsville"
"340",2019,"fall",5,0,"wrightsville"
"341",2019,"spring",1,0,"wrightsville"
"342",2019,"summer",1,0,"wrightsville"
"343",2019,"winter",0,0,"wrightsville"
"344",2020,"fall",2,0,"wrightsville"
"345",2020,"spring",3,0,"wrightsville"
"346",2020,"summer",2,0,"wrightsville"
"347",2020,"winter",2,0,"wrightsville"
"348",2021,"fall",2,0,"wrightsville"
"349",2021,"spring",1,0,"wrightsville"
"350",2021,"summer",2,0,"wrightsville"
"351",2021,"winter",2,0,"wrightsville"
"352",2022,"fall",2,0,"wrightsville"
"353",2022,"spring",2,0,"wrightsville"
"354",2022,"summer",2,0,"wrightsville"
"355",2022,"winter",2,0,"wrightsville"
"356",2023,"spring",7,0,"wrightsville"
"357",2023,"summer",0,0,"wrightsville"
"358",2023,"winter",2,0,"wrightsville"
