Year,CPUE_Summer,CPUE_Fall,MPUE_Summer,MPUE_Fall,CrabCPUE_Summer,CrabCPUE_Fall,CrabMPUE_Summer,CrabMPUE_Fall,FishCPUE_Summer,FishCPUE_Fall,FishMPUE_Summer,FishMPUE_Fall,SppRichness_Summer,SppRichness_Fall,DtoPBioMRatio_Summer,DtoPBioMRatio_Fall,shannonwiener_Summer,shannonwiener_Fall,NonShrimpInvertCPUE_Summer,NonShrimpInvertCPUE_Fall
1998,604.2586461,877.4672121,14.74604493,30.3715427,26.78898306,32.13796666,1.579688123,1.467382038,307.2451947,447.7433757,6.591215934,15.20108675,8.8125,18.29411765,389.1553753,31.55901376,0.913945091,1.290727364,25.01426435,11.71652673
1999,1235.629572,1008.638555,32.12485389,33.27806687,78.4078671,35.68624328,3.366896682,0.983500426,605.0443168,504.0480526,14.42806896,17.05714534,15.29411765,19.42857143,218.0410348,624.9849021,1.400771009,1.604202007,41.82321438,10.81214762
2000,544.0949227,604.4039735,23.25410603,18.08796906,19.89435161,27.23442929,0.571435707,0.527998285,277.7384316,304.6165461,12.19612553,9.417137454,16.24,20.54,98.3616337,39.2766714,1.501080968,1.785314822,15.20972993,11.13939572
2001,419.1335541,482.0916115,16.28374713,15.31491724,20.70397158,11.4564251,0.927116825,0.34987782,207.8767237,257.5355025,8.067985627,8.193673003,11.82,16.88,120.4056172,594.0902125,1.298073567,1.555582169,18.59892435,8.139304907
2002,485.4801325,537.831689,13.19137967,18.11294314,57.97138527,15.41788561,1.249872082,0.396472487,209.644279,282.6573227,6.020718936,9.631998098,16.86,18.08163265,580.8031143,153.578648,1.451420055,1.587065392,33.13085683,6.019216352
2003,755,667.5662252,21.53752759,22.59290283,29.78546213,14.39081619,0.831264261,1.125948118,381.0635877,347.2756261,10.92942196,11.1790794,11.3,16.54,206.9983646,126.8441108,0.984748193,1.327506114,26.84635948,8.80961605
2004,755.4376055,835.5684327,18.82936197,26.63065123,33.13217065,16.88081782,1.304528453,0.571258541,383.6209295,438.7093302,9.08532067,14.03890471,10.8627451,19.08,218.0694262,89.39957715,1.151333997,1.451217328,30.18204587,4.365468051
2005,441.8389873,894.512772,12.09612793,24.66122671,15.48321915,14.30171399,0.53840082,0.286954464,233.1147249,479.9424996,6.265024105,13.33470648,12.04081633,18.34693878,136.2923907,318.2084531,1.247585431,1.21768209,14.96110337,2.72660463
2006,694.7582565,610.6458036,29.71413873,24.04317627,23.61891401,16.80659053,0.389070101,0.385423298,359.8017573,322.5011918,16.00946121,12.93633901,14.58823529,17.82352941,110.5057631,82.86205324,1.229842667,1.493634326,12.04869182,2.008242207
2007,367.5496689,832.3702549,12.75283983,22.11924852,9.363831768,28.58300138,0.167939837,0.686574686,197.210653,433.5847365,7.011200104,11.58782735,12.5625,19.43137255,77.98080159,94.55966833,1.207494381,1.436497252,7.240401028,5.593642841
2008,1218.781111,1166.125611,20.69521268,25.9888975,41.38535376,20.97074405,0.711195058,0.423577308,643.8557763,623.8200098,10.92420407,13.94399767,15.96078431,21.45098039,66.6760548,26.81217084,1.270395843,1.553193641,15.60604067,6.02472662
2009,367.609185,1031.586807,13.3718889,28.70700233,7.730831349,14.30858296,0.172592591,0.29109347,195.3806731,555.2863417,7.216190334,15.55746513,14.8627451,22.05882353,132.9414467,105.6656146,1.263518923,1.630335332,4.257023549,3.17062617
2010,1486.533134,1000.167727,29.74639654,22.086558,56.47040478,8.172562282,1.188344909,0.33962453,762.4639735,553.0668018,15.25603777,11.98015361,15.94117647,19.23529412,52.33571116,45.18891319,1.290644128,1.253950073,35.6821773,3.863198777
2011,619.1890664,450.4285158,17.57121365,18.3627148,34.6311207,6.213177785,0.893427965,0.245907828,304.5992772,243.0986429,8.754781702,9.91697107,15.1372549,21.58823529,105.2645038,36.99530235,1.330277391,1.627469832,10.86696977,2.644537651
2012,1533.145046,1114.144592,28.1145522,34.32997786,23.23850318,12.34223692,0.609866039,0.501731511,821.9561234,604.6950913,14.90866759,18.52016172,20.58823529,19.14,147.718212,267.8624816,1.136095366,1.325681404,11.39082594,5.177648154
2013,1287.213782,1097.292559,25.51325592,29.34512828,21.7522136,19.7644892,0.411531655,0.487949594,685.3881813,587.355512,13.64693855,15.74520412,19.25490196,20.92156863,100.3891686,77.20590798,1.124347114,1.290461531,13.96746731,8.613794742
2014,728.6283167,668.3786097,21.25739627,18.96293427,13.18963911,18.47709733,0.218033064,0.30837073,383.2893861,353.9680824,11.43199336,10.21692169,15.50980392,18.28571429,77.21860377,60.07074685,1.213966222,1.457947862,6.345157051,3.416867072
2015,670.1077782,608.7629312,21.50736922,23.86381642,10.38015896,19.83577096,0.31197039,0.474917996,353.1488296,317.3231704,11.47503037,12.7213621,13.98039216,20.92156863,198.4218256,150.0225765,1.151075625,1.562527854,6.344077025,1.627260848
2016,593.607973,621.8985047,18.43576053,25.10828519,15.16746342,48.36901957,0.312937055,1.090144132,312.3409779,307.8659424,9.858236871,12.81183658,15.94117647,18.56862745,88.17201212,133.4037064,1.263241607,1.465613026,8.743626417,4.091907161
2017,1330.211444,1102.329784,26.63522703,28.5592185,43.8398098,27.35897566,0.940549945,0.703107302,687.9588479,581.7956614,13.72500567,15.07237564,16.98039216,20.8627451,184.7904537,711.9522169,1.115488271,1.313449195,25.25521804,4.584542947
2018,712.3785105,834.5341755,17.46434265,27.79674597,35.53503954,27.7406993,0.408107541,0.713786709,358.2972608,433.0821245,9.190761476,14.62511911,14.14583333,22.46296296,636.3114741,107.1843514,1.09863519,1.428084165,8.080039992,11.76392117
2019,1131.754967,907.7791575,25.80794702,28.86592935,67.06577197,14.95622364,1.401802553,0.322790648,557.2120646,489.8624405,12.65282522,15.51164649,14.92,22,220.8349993,58.57421485,1.228176253,1.594575554,24.59687441,2.997348597
2020,594.9006623,1071.459368,15.6786755,29.09017143,19.66998686,22.43975025,0.504960288,0.575417158,304.8272262,570.331269,8.040669113,15.51408031,14.36,19.59375,26.27797208,117.1979869,1.153702913,1.176446727,12.64617388,2.669444896
2021,629.0442191,769.4352465,16.51587507,14.57873436,8.098876587,7.931998067,0.115386886,0.118988799,341.9361004,417.8861212,9.085181763,7.946372662,12.65625,15.5,48.91630782,21.56093573,1.187931243,1.335695008,4.466990564,0.639591831
