Year,Annual Average Flux (kg N/d),Winter Average Flux (kg N/d),Spring Average Flux (kg N/d),Summer Average Flux (kg N/d),Fall Average Flux (kg N/d),Flow Normalized Annual Average Flux (kg N/d),Flow Normalized Winter Average Flux (kg N/d),Flow Normalized Spring Average Flux (kg N/d),Flow Normalized Summer Average Flux (kg N/d),Flow Normalized Fall Average Flux (kg N/d)
1997,3074.948339,6954.311143,3167.570663,782.3295017,1480.922789,3640.108465,6420.259062,3202.557693,2202.274417,2791.024758
1998,4288.297394,13326.50841,3410.41686,225.8032683,377.4017098,3651.122761,6411.53242,3270.225202,2195.378842,2783.223293
1999,5443.721679,4836.839974,1950.20376,10660.96922,4275.707665,3674.391914,6400.870757,3306.772514,2224.862605,2820.337197
2000,4278.912871,6528.530736,4621.867956,4724.063256,1269.369679,3723.909194,6417.248006,3356.01594,2272.226427,2875.422984
2001,1743.193472,3072.327094,3048.781134,773.3390929,121.4119462,3776.252215,6486.268926,3424.110697,2316.950971,2932.764046
2002,1926.524872,1812.469143,1535.664716,126.2774295,4224.960246,3844.811287,6588.808404,3498.849589,2350.834868,2996.643945
2003,8761.702678,8827.920679,10285.64734,9383.865249,6567.381579,3919.008835,6718.122369,3590.579675,2369.221828,3055.391879
2004,6626.2774,5150.498446,3822.078158,11119.2959,6366.71559,4009.755445,6876.224458,3712.920257,2380.367598,3097.440269
2005,2799.602449,5650.772874,3264.630606,396.2195031,1953.823434,4066.077101,6951.826231,3819.392355,2414.906214,3138.235922
2006,5253.683994,2928.805821,1531.953357,4445.420955,12017.56142,4093.965169,6905.423819,3879.492898,2460.156306,3189.575097
2007,1958.705478,4988.946559,2457.244994,155.0161923,304.9078799,4146.175314,6895.75479,3968.514253,2530.816439,3247.458143
2008,2399.395202,2707.232612,4367.051621,496.980505,2051.049696,4222.823408,6910.494379,4098.676203,2606.038501,3303.948937
2009,4257.099441,3880.664278,3731.835335,339.696516,9062.308867,4294.919079,6927.356172,4263.200174,2678.25333,3367.748763
2010,3633.78021,9381.65556,2856.90481,306.2525526,2106.817432,4391.93269,6973.654512,4443.037783,2771.085779,3436.632563
2011,3604.280584,2623.017698,1338.182444,6472.971628,3936.987265,4495.712797,7018.874642,4581.953269,2919.274228,3518.537788
2012,2297.565913,3285.426533,1752.619231,2748.636091,1408.396082,4583.305826,7056.87164,4664.612812,3049.51553,3589.993676
2013,5124.093875,7343.247197,6630.616513,3856.728053,2730.401445,4634.974032,7089.446425,4703.97582,3163.600988,3636.981009
2014,3729.971757,6477.695734,5515.935829,1190.775569,1814.62568,4621.415021,7136.079013,4705.281936,3113.016625,3586.860718
2015,4436.307622,6075.605015,3587.167817,3256.196757,4852.668017,4626.353527,7205.580454,4714.355689,3074.642344,3567.862318
2016,4518.372006,8483.000002,4625.842732,1743.871475,3265.035758,4654.683453,7291.439803,4746.675342,3045.209805,3565.069169
2017,2236.991712,2830.836792,3510.147174,1916.349816,683.61227,4663.486803,7363.989205,4769.988055,3017.55702,3537.805804
2018,5686.968319,3958.062923,5757.406072,3463.122083,9148.721688,4632.037383,7789.095915,4810.021752,3022.219608,3660.677679
2019,4930.07791,11270.24739,5949.50015,836.5834359,1812.89111,4730.354671,7550.077848,4855.215016,2990.16789,3588.613438
