Year,Annual Average Flux (kg P/d),Winter Average Flux (kg P/d),Spring Average Flux (kg P/d),Summer Average Flux (kg P/d),Fall Average Flux (kg P/d),Flow Normalized Annual Average Flux (kg P/d),Flow Normalized Winter Average Flux (kg P/d),Flow Normalized Spring Average Flux (kg P/d),Flow Normalized Summer Average Flux (kg P/d),Flow Normalized Fall Average Flux (kg P/d)
1990,494.1597391,1092.838078,434.0659537,300.466695,161.6297823,505.1235653,959.1702585,393.2099198,258.5848123,418.183398
1991,327.2092016,874.1819199,241.4520091,107.3544389,96.80700634,507.8574319,979.5610925,391.7447419,245.1107736,424.0054525
1992,427.492192,797.9175355,332.3398688,231.8224515,350.8810102,514.2504102,991.5024405,386.8664719,242.7529833,439.6826591
1993,497.6123403,1322.248292,476.7893796,28.24417546,180.8680462,518.3571645,993.1231727,378.3869582,247.3176695,463.4004424
1994,396.6722117,1127.185798,292.3646056,54.45790069,127.427494,522.7563175,980.5496449,368.4073852,260.3667,489.9758629
1995,270.5648864,602.564473,161.6043102,98.25268663,225.871104,522.4568756,963.3856203,361.1512604,270.1641185,502.9585887
1996,811.955099,1035.256606,363.3021401,554.399586,1292.412592,518.4501251,947.0028794,353.295742,273.1249522,503.2399526
1997,425.5921766,973.7224716,349.5173926,94.82259301,295.3952252,511.4138603,936.0193559,346.5692863,275.1427531,495.3628112
1998,549.1849802,1773.906722,330.0661125,30.36814196,86.64160301,502.4295235,916.253126,343.2263983,277.6564271,479.8478391
1999,729.5318778,718.9865253,202.7489612,1297.012397,693.4244795,489.4504492,882.3251204,340.1003678,278.984902,463.3087899
2000,522.3427796,838.2128194,445.6526421,576.530522,231.5749167,475.8724739,842.3422402,333.8763197,279.2377578,450.4735084
2001,223.7006176,489.2707433,304.2763464,85.15139212,22.75307548,465.7074922,817.1924146,331.1776764,278.5934815,442.0450922
2002,281.5736063,339.8691506,165.6709826,17.81249752,602.9492778,463.3560124,808.55355,334.9959705,277.221718,438.7618876
2003,966.3303037,986.9560611,907.3418437,1106.620837,864.20968,465.8279936,814.3484044,344.2351179,275.0605543,435.922767
2004,793.6382255,684.6661213,368.8181376,1280.828173,834.4383811,464.8371064,810.4073885,351.546754,271.4338816,428.4851835
2005,337.4487066,708.6168203,312.9471002,48.15104187,287.8824145,456.2780532,788.950361,355.232908,267.8733359,419.189298
2006,634.6948339,468.9923961,175.978298,460.5113348,1424.70903,449.0492562,766.6990046,358.296351,267.062359,410.0582948
2007,237.2947137,641.0718272,250.3322836,22.08879609,44.60542409,441.6485783,746.6688215,360.8501261,266.3437139,398.4842825
2008,262.0451625,365.6815342,371.254568,56.33195072,257.226138,433.5904964,718.1441796,364.2209515,267.9032867,386.432526
2009,436.7661229,439.0935557,350.3341672,41.76751332,914.9803741,426.8353127,686.7159265,372.6439187,274.4169187,378.6250287
2010,338.1115498,845.6460498,252.4079843,33.52683454,230.9671286,422.663788,655.9326645,380.6174809,284.3432352,374.3758089
2011,373.4705219,301.4443134,138.1012971,609.7559779,440.4563509,417.8946425,629.9910837,382.1114838,293.5837132,370.1141344
2012,233.5749456,338.4415057,169.6917668,272.897983,153.7139985,414.4508688,612.3136618,381.9710677,302.6931227,362.6232643
2013,466.4325657,639.4887904,566.9560453,380.1327181,284.0074473,407.9463662,606.133638,379.3788348,303.5279171,346.7429773
2014,331.0244892,591.0792132,427.3498554,124.6622387,187.7070281,395.627556,594.9068932,371.8972477,292.4302602,327.3500442
2015,393.9823729,522.4817738,308.4117913,314.1776295,432.721647,386.3527497,586.1185323,364.9723374,282.4946259,315.935842
2016,366.1293158,694.1294762,380.3067347,171.9133761,221.8869976,380.9568023,581.5542929,361.7332663,274.1098443,308.4012618
2017,203.5114933,266.576184,288.5836848,188.9174899,69.34767897,375.3129251,579.6321953,358.1114343,267.6967306,298.393939
2018,477.9475914,349.6193869,459.7602895,332.5549239,739.7161895,363.1426159,584.4484213,356.5109875,261.6351021,303.699498
2019,388.7036136,839.0333318,467.5893376,85.11938671,173.7196284,368.9308645,578.0535616,355.6120681,255.5319221,290.9272822
