Year,Species,Pounds,Value,Dealers,Trips,Participants,Vessels,Licenses,CONF
1995,Sea bass,493677.73,597035.53,101,3952,524,575,767,
1995,Sharks,2727300.45,1146157.31,72,2156,312,313,426,
1995,"Sharks, Dogfishes",9357602.20,1553086.44,43,2608,267,269,341,
1995,"Shellfish, Other",919113.17,1363820.60,134,6786,688,743,1001,
1995,"Shrimp, Uncl",8669030.26,20318226.76,263,23890,1080,1255,1741,
1995,Snappers,403498.68,931144.27,56,2328,289,310,434,
1995,Southern Flounder,4166946.91,7611379.94,279,45741,2277,2708,3600,
1995,Spadefish,40872.50,8174.50,47,1470,236,270,290,
1995,Spanish Mackerel,402392.21,216116.12,144,4309,609,678,776,
1995,Spot,3006844.80,932121.89,252,11468,1298,1437,1665,
1995,Spotted Seatrout,574295.61,634060.62,215,16856,1548,1778,2250,
1995,Striped Bass,446789.06,606528.99,90,6540,747,816,978,
1995,Striped Mullet,2298446.42,1944319.24,246,13819,1457,1603,1954,
1995,Summer Flounder,4582195.07,8190373.10,103,2168,481,470,653,
1995,Swordfish,171299.40,517857.60,8,222,38,19,54,
1995,Thread Herring,6391228.00,447385.96,3,17,4,5,5,
1995,Tilefishes,160859.81,228295.47,30,553,90,99,129,
1995,Triggerfishes,304539.98,216210.61,73,2071,277,297,407,
1995,Tuna,2148909.57,3555022.79,92,4107,577,569,798,
1995,Wahoo,40731.03,84674.74,56,784,281,268,349,
1995,Weakfish,4113260.34,2165275.72,201,20565,1455,1640,2089,
1995,White Perch,111365.83,75347.86,85,6077,517,578,720,
1995,Yellow Perch,61872.10,40836.57,47,3622,330,357,429,
1996,Amberjacks,139668.75,63942.21,44,1345,238,248,345,
1996,American Shad,199638.49,172103.85,127,5202,614,640,728,
1996,Bay Scallop,27388.44,105715.83,17,446,89,93,115,
1996,Blue Crab,67080199.71,43042433.67,333,123900,2287,2819,4278,
1996,Blue Runner,2722.70,816.81,23,206,70,72,82,
1996,Bluefish,3298640.39,861547.17,165,10997,1038,1140,1555,
1996,Catfishes,802419.57,238015.71,118,13668,787,917,1276,
1996,Croaker,9961842.49,3642607.62,202,15419,1311,1508,1991,
1996,Dolphinfish,128586.32,215422.96,75,1422,340,352,479,
1996,Eels,151375.30,250251.51,65,1083,187,213,251,
1996,"Finfish, Other",2504485.98,767484.55,295,26889,2126,2430,3292,
1996,Gizzard Shad,410963.25,26546.00,39,3473,261,279,337,
1996,Groupers,651104.99,1350817.32,68,3096,327,365,513,
1996,Hard Clams,619836.98,4380620.41,89,43055,1568,1655,2688,
1996,Hickory Shad,187886.78,40325.79,88,3635,516,540,565,
1996,Hog Snapper,13840.73,23864.34,32,456,82,94,125,
1996,King Mackerel,793467.02,1271783.03,90,3196,553,594,784,
1996,Kingfishes,528260.44,470545.18,174,8907,830,941,1245,
1996,Menhaden,53850943.01,4858470.87,78,1640,264,291,338,
1996,Monkfish/Goosefish,535092.25,432711.78,48,909,194,183,227,
1996,Oyster,210931.09,793122.74,121,8047,504,556,786,
1996,Porgies,237309.94,265183.10,59,2478,305,333,479,
1996,Red Drum,113338.24,112881.36,162,4891,849,939,1159,
1996,River Herring,529502.65,132389.29,55,3215,265,282,297,
1996,Scup,58860.50,19824.19,17,95,47,50,52,
1996,Sea bass,778325.37,998103.05,96,3616,505,536,730,
1996,Sharks,1871202.54,771562.84,64,1563,292,285,400,
1996,"Sharks, Dogfishes",13673757.90,2228921.55,44,3378,290,294,428,
1996,"Shellfish, Other",618869.68,1040210.11,130,5854,620,687,876,
1996,"Shrimp, Uncl",5261136.61,13365295.20,258,17084,865,1077,1370,
1996,Snappers,350206.49,763999.19,53,1903,247,266,380,
1996,Southern Flounder,3807008.63,7235816.94,293,40604,2194,2591,3510,
1996,Spadefish,55889.50,13497.10,45,1375,213,244,296,
1996,Spanish Mackerel,401829.51,204501.67,138,3958,580,654,794,
1996,Spot,2289999.68,866052.91,257,12334,1357,1548,1898,
1996,Spotted Seatrout,226588.82,252411.47,214,9503,1210,1365,1718,
1996,Striped Bass,181599.76,220944.52,91,6639,612,655,820,
1996,Striped Mullet,1756863.05,1091892.12,244,13961,1423,1600,2015,
1996,Summer Flounder,4227052.32,6784624.30,103,2577,419,441,586,
1996,Swordfish,194861.82,484105.21,8,198,32,23,47,
1996,Thread Herring,***,***,1,11,1,2,2,*
1996,Tilefishes,158586.08,229733.83,27,562,78,75,113,
1996,Triggerfishes,277741.11,210941.54,64,1745,253,271,374,
1996,Tuna,1526783.83,2268042.25,94,3228,483,484,683,
1996,Wahoo,26675.40,53364.43,46,439,189,187,246,
1996,Weakfish,3977640.63,2304420.22,197,17655,1319,1467,1981,
1996,White Perch,172879.19,124218.48,102,7224,588,672,887,
1996,Yellow Perch,53827.72,42360.01,64,4038,389,446,578,
1997,Amberjacks,178309.66,107051.78,55,1535,270,282,309,
1997,American Shad,219525.67,149202.88,113,5666,566,605,634,
1997,Bay Scallop,54606.49,183172.50,16,674,96,96,107,
1997,Blue Crab,56090109.01,37686038.74,346,132493,2284,2700,3112,
1997,Blue Runner,1616.80,458.09,18,137,60,60,60,
1997,Bluefish,4003159.86,1166023.21,186,16520,1195,1319,1426,
1997,Catfishes,1031143.91,282601.41,116,16594,800,896,976,
1997,Croaker,10711666.69,4116446.16,196,15214,1358,1503,1617,
1997,Dolphinfish,229791.10,347269.83,77,1528,363,365,418,
1997,Eels,137580.50,329322.55,62,1081,184,206,220,
1997,"Finfish, Other",2380676.67,806308.85,276,26931,2000,2229,2439,
1997,Gizzard Shad,253667.05,16657.47,35,2556,186,205,216,
1997,Groupers,719549.54,1547969.87,68,3674,340,351,405,
1997,Hard Clams,696295.05,4878022.10,89,45047,1535,1561,1961,
1997,Hickory Shad,138227.65,17405.43,71,2701,439,460,475,
1997,Hog Snapper,14009.75,26296.65,39,454,85,97,108,
1997,King Mackerel,1558439.46,2375083.69,106,5331,693,699,791,
1997,Kingfishes,872888.44,864030.16,176,11021,871,976,1047,
1997,Menhaden,97727056.87,8794202.46,92,2421,309,323,348,
1997,Monkfish/Goosefish,704035.90,446669.07,40,725,149,151,164,
1997,Oyster,218970.28,888962.84,122,8130,498,492,590,
1997,Porgies,188884.92,239500.62,61,2536,295,307,352,
1997,Red Drum,52502.39,56939.40,126,2440,571,635,660,
1997,River Herring,334808.73,128987.51,51,2673,231,246,255,
1997,Scup,1364.50,761.05,8,21,15,16,16,
1997,Sea bass,766827.89,1124010.41,82,3990,428,447,500,
1997,Sharks,1487669.44,512327.71,60,1798,269,268,300,
1997,"Sharks, Dogfishes",8135923.02,1083374.35,44,2792,252,257,272,
1997,"Shellfish, Other",1002858.15,852326.57,130,5008,526,587,636,
1997,"Shrimp, Uncl",6988242.84,18204266.49,248,20442,911,1063,1148,
1997,Snappers,366482.18,872983.04,66,2207,260,263,298,
1997,Southern Flounder,4076791.33,7981373.33,278,46540,2216,2557,2821,
1997,Spadefish,57383.85,13321.21,58,1907,301,354,366,
1997,Spanish Mackerel,766958.17,474882.27,164,5989,784,876,920,
1997,Spot,2627925.45,1155343.03,251,13762,1396,1571,1672,
1997,Spotted Seatrout,232496.97,283425.07,198,10924,1217,1360,1444,
1997,Striped Bass,587785.53,711090.87,101,8715,814,895,942,
1997,Striped Mullet,2442656.50,1777617.17,248,14363,1411,1566,1702,
1997,Summer Flounder,1501173.41,2828189.68,110,2770,403,428,457,
1997,Swordfish,176265.51,458987.89,9,171,28,15,31,
1997,Thread Herring,***,***,1,15,1,2,2,*
1997,Tilefishes,149402.32,177222.51,32,775,106,103,119,
1997,Triggerfishes,342123.33,257505.80,77,2297,300,313,351,
1997,Tuna,1277937.56,1490572.42,93,4524,553,553,611,
1997,Wahoo,20627.99,45189.74,50,401,178,174,195,
1997,Weakfish,3561060.42,1869619.70,203,21235,1420,1579,1709,
1997,White Perch,123046.05,97917.01,97,7048,577,633,673,
1997,Yellow Perch,76744.75,66150.46,56,5016,385,425,450,
1998,Amberjacks,101739.35,60262.69,52,1209,199,209,234,
1998,American Shad,327555.50,233760.90,108,5098,483,515,531,
1998,Bay Scallop,102818.63,289184.22,22,1059,134,139,151,
1998,Blue Crab,62076170.45,44959639.57,356,143055,2004,2413,2756,
1998,Blue Runner,1296.00,413.10,18,81,35,40,42,
1998,Bluefish,2925929.02,763582.74,185,13743,1080,1174,1258,
1998,Catfishes,910153.97,230009.13,104,13578,646,751,785,
1998,Croaker,10865897.09,3449816.76,189,10662,1092,1227,1292,
1998,Dolphinfish,149990.21,238611.33,70,1295,273,284,334,
1998,Eels,99709.65,234276.34,60,1012,172,188,199,
1998,"Finfish, Other",1458889.49,486333.56,264,20993,1667,1860,2001,
1998,Gizzard Shad,230093.50,18745.85,16,2763,153,171,173,
1998,Groupers,745664.79,1647973.29,69,3558,309,326,367,
1998,Hard Clams,689510.21,4559845.68,89,40820,1326,1404,1718,
1998,Hickory Shad,93503.77,18311.52,80,2538,430,459,471,
1998,Hog Snapper,12037.25,22166.49,24,434,78,84,91,
1998,King Mackerel,1143342.07,1749357.11,93,4074,578,593,662,
1998,Kingfishes,399312.65,414314.55,157,8768,745,831,880,
1998,Menhaden,57976454.66,4121666.79,79,2385,250,286,307,
1998,Monkfish/Goosefish,686715.12,478014.08,41,694,165,167,186,
1998,Oyster,224214.01,925558.97,133,7568,502,541,613,
1998,Porgies,183884.88,240148.93,59,2604,264,279,315,
1998,Red Drum,294365.51,288397.27,155,5613,694,782,819,
1998,River Herring,521930.33,202436.94,44,2809,223,248,257,
1998,Scup,14885.00,8140.48,13,38,27,29,29,
1998,Sea bass,743242.62,1099981.73,96,3873,423,457,510,
1998,Sharks,1167236.33,409568.09,67,1293,228,236,266,
1998,"Sharks, Dogfishes",5451609.80,744242.88,50,2049,208,221,231,
1998,"Shellfish, Other",1095342.78,812460.17,124,5802,562,621,670,
1998,"Shrimp, Uncl",4635188.99,10855296.18,234,14969,692,800,859,
1998,Snappers,352019.85,851507.69,52,2050,229,236,265,
1998,Southern Flounder,3952563.48,7118713.03,281,39433,1837,2139,2308,
1998,Spadefish,38994.00,13369.37,52,1154,223,246,251,
1998,Spanish Mackerel,372415.14,261972.67,139,4138,589,670,692,
1998,Spot,2396979.31,1001658.95,235,11355,1176,1341,1421,
1998,Spotted Seatrout,307671.07,380723.79,206,12384,1147,1293,1369,
1998,Striped Bass,422868.50,520039.34,95,6702,706,792,822,
1998,Striped Mullet,2218107.90,1061430.12,246,12848,1183,1330,1425,
1998,Summer Flounder,2983273.02,5419104.45,106,2538,355,382,414,
1998,Swordfish,265064.33,666672.63,11,208,30,19,36,
1998,Thread Herring,***,***,2,15,4,5,5,*
1998,Tilefishes,67770.49,89592.94,32,621,94,93,100,
1998,Triggerfishes,274640.60,201112.99,65,1901,223,231,257,
1998,Tuna,1064415.37,1376822.10,92,2959,444,451,512,
1998,Wahoo,22599.54,47860.51,49,359,165,153,184,
1998,Weakfish,3354007.91,1698335.97,190,16854,1170,1328,1411,
1998,White Perch,142671.78,116945.03,87,7027,506,588,609,
1998,Yellow Perch,79312.53,70303.24,52,4776,347,397,409,
1999,Amberjacks,129244.77,78238.86,47,1356,201,228,293,
1999,American Shad,131616.71,108144.55,100,4718,463,507,545,
1999,Bay Scallop,29650.99,102998.26,21,441,81,81,93,
1999,Blue Crab,57545842.55,37811792.88,396,124377,1916,2973,3989,
1999,Blue Runner,3096.00,2089.80,14,97,34,37,40,
1999,Bluefish,2761083.84,877734.02,166,12087,974,1182,1450,
1999,Catfishes,731282.64,206169.28,103,14376,636,859,1100,
1999,Croaker,10185506.82,3119798.50,192,12980,1116,1424,1765,
1999,Dolphinfish,209488.21,343807.61,79,1423,331,353,467,
1999,Eels,108410.30,136891.73,65,1032,164,198,234,
1999,"Finfish, Other",1584352.03,448925.09,272,25497,1727,2220,2826,
1999,Gizzard Shad,205656.00,13097.04,21,2780,164,198,233,
1999,Groupers,758067.74,1629811.73,54,2821,267,309,428,
1999,Hard Clams,576836.16,3773579.89,88,32889,1486,1310,2295,
1999,Hickory Shad,112139.70,20768.94,74,3644,434,472,509,
1999,Hog Snapper,12404.93,21712.21,24,391,74,84,109,
1999,King Mackerel,1082692.82,1695944.09,73,3617,437,525,687,
1999,Kingfishes,607465.24,621078.04,167,9428,783,939,1207,
1999,Menhaden,42799080.34,2680633.04,95,3809,419,508,594,
1999,Monkfish/Goosefish,599538.12,654846.39,40,812,173,183,218,
1999,Oyster,216831.06,922797.29,132,7459,521,556,776,
1999,Porgies,77136.81,92189.40,47,1539,202,226,312,
1999,Red Drum,372941.91,398282.35,158,10603,909,1176,1370,
1999,River Herring,443494.14,180874.26,41,2815,204,222,243,
1999,Scup,***,***,1,1,1,1,1,*
1999,Sea bass,613546.68,1078873.21,83,3021,376,446,598,
1999,Sharks,1666655.24,704666.11,50,1207,174,194,251,
1999,"Sharks, Dogfishes",4224232.42,619912.05,36,1886,180,197,241,
1999,"Shellfish, Other",274932.58,199972.19,124,4547,542,576,796,
1999,"Shrimp, Brown",1672958.76,4323442.12,177,3341,549,593,593,
1999,"Shrimp, Pink",10059.95,11293.73,13,82,27,28,28,
1999,"Shrimp, Uncl",3661887.24,7947451.74,234,9777,594,696,883,
1999,"Shrimp, White",3659301.72,9812190.90,178,7027,562,649,620,
1999,Snappers,441782.60,1067328.35,49,1810,200,224,315,
1999,Southern Flounder,2933275.84,5154123.75,280,35413,1795,2433,3004,
1999,Spadefish,34319.50,9535.78,67,1613,298,354,382,
1999,Spanish Mackerel,459100.02,265833.84,140,3543,540,621,722,
1999,Spot,2262174.85,1001979.76,254,12382,1275,1570,1831,
1999,Spotted Seatrout,546674.83,670460.23,203,15319,1291,1671,1974,
1999,Striped Bass,588311.39,724844.18,91,9097,699,853,1013,
1999,Striped Mullet,1460850.31,838924.30,210,10391,990,1232,1426,
1999,Summer Flounder,2869109.75,5011563.36,102,3028,347,389,535,
1999,Swordfish,611028.83,1044237.26,12,179,30,33,46,
1999,Thread Herring,***,***,2,5,2,2,2,*
1999,Tilefishes,76697.14,67733.60,30,582,73,94,114,
1999,Triggerfishes,150387.09,110496.28,57,1503,187,212,282,
1999,Tuna,1126550.54,1257270.49,90,3266,415,471,610,
1999,Wahoo,28963.11,58314.07,60,460,181,186,240,
1999,Weakfish,2617582.31,1390988.33,193,17075,1170,1510,1859,
1999,White Perch,353245.76,263296.46,97,9177,530,701,870,
1999,Yellow Perch,113544.75,102646.02,58,5650,374,474,590,
2000,Amberjacks,127115.60,82064.58,38,1331,205,227,215,
2000,American Shad,297989.83,213009.60,112,5277,537,601,562,
2000,Bay Scallop,21029.10,78553.55,20,341,71,71,72,
2000,Blue Crab,40638384.29,37437727.60,330,111221,1756,2400,1914,
2000,Blue Runner,1749.00,437.25,13,184,58,58,59,
2000,Bluefish,3368610.19,1104129.01,161,11643,959,1107,1013,
2000,Catfishes,879446.92,268894.81,107,12213,630,767,679,
2000,Croaker,10122626.97,2986815.57,163,11810,1114,1276,1187,
2000,Dolphinfish,197259.08,306687.76,63,1238,272,289,290,
2000,Eels,134455.85,179262.88,56,909,170,190,181,
2000,"Finfish, Other",1282307.58,585597.96,250,23896,1701,1995,1811,
2000,Gizzard Shad,287453.00,20121.71,23,2476,142,165,151,
2000,Groupers,636941.70,1420413.98,47,2278,211,253,225,
2000,Hard Clams,675814.03,4680245.30,84,41989,1640,1279,1750,
2000,Hickory Shad,92563.58,14501.77,72,2625,391,435,411,
2000,Hog Snapper,7727.25,14852.30,21,322,57,63,62,
2000,King Mackerel,1045554.32,1655894.24,78,4064,477,529,512,
2000,Kingfishes,551939.83,520965.20,152,8656,750,874,798,
2000,Menhaden,56280111.91,3495744.05,83,4145,380,451,411,
2000,Monkfish/Goosefish,745164.00,966738.57,32,757,173,184,185,
2000,Oyster,203426.56,804212.10,122,7709,560,546,584,
2000,Porgies,23726.54,24752.60,33,658,108,116,113,
2000,Red Drum,270952.67,294870.56,158,9753,981,1151,1049,
2000,River Herring,332335.50,126684.55,46,2461,210,247,224,
2000,Sea bass,567383.56,973039.61,67,2314,309,359,333,
2000,Sharks,1460709.26,548830.34,40,1368,190,205,202,
2000,"Sharks, Dogfishes",3885221.40,678308.43,32,1555,179,193,184,
2000,"Shellfish, Other",286238.63,314996.38,107,4668,586,609,618,
2000,"Shrimp, Brown",6489494.92,16000250.45,206,9009,776,906,821,
2000,"Shrimp, Pink",161421.90,383244.51,40,1468,173,192,177,
2000,"Shrimp, Uncl",469137.03,956056.39,48,479,106,111,107,
2000,"Shrimp, White",3214861.51,8066364.68,196,8008,661,757,695,
2000,Snappers,510897.09,1281041.54,38,1603,166,193,177,
2000,Southern Flounder,3205788.65,5660760.99,262,37490,1896,2296,2017,
2000,Spadefish,46234.50,12887.88,51,1287,231,259,240,
2000,Spanish Mackerel,659426.11,499445.73,130,4550,603,684,631,
2000,Spot,2829818.45,1172230.55,245,13229,1389,1569,1455,
2000,Spotted Seatrout,376574.13,467122.18,185,11241,1159,1357,1226,
2000,Striped Bass,407439.73,471836.95,85,11706,698,847,754,
2000,Striped Mullet,2829086.41,1602701.92,222,13631,1230,1460,1314,
2000,Summer Flounder,3386581.40,5991407.57,96,2532,359,392,380,
2000,Swordfish,414801.10,937554.92,7,155,25,24,25,
2000,Thread Herring,***,***,2,4,3,3,3,*
2000,Tilefishes,85467.22,98129.56,22,425,56,59,59,
2000,Triggerfishes,88277.36,84106.37,46,1194,151,175,160,
2000,Tuna,1727787.10,3414429.45,76,3201,421,464,440,
2000,Wahoo,19905.11,46475.31,46,354,154,158,165,
2000,Weakfish,1869042.51,1089958.79,170,13992,1128,1306,1193,
2000,White Perch,202191.82,139703.62,93,8224,561,678,608,
2000,Yellow Perch,94084.81,98296.55,62,4271,342,406,374,
2001,Amberjacks,121965.75,64071.29,45,1247,196,210,206,
2001,American Shad,151075.45,94373.11,101,5037,461,520,489,
2001,Bay Scallop,2517.25,10423.00,11,56,26,21,26,
2001,Blue Crab,32179345.14,32230519.07,337,113571,1787,2430,1956,
2001,Blue Runner,890.00,296.67,15,109,41,42,42,
2001,Bluefish,4065999.89,1091019.67,162,10923,945,1097,1001,
2001,Catfishes,564182.51,153609.02,101,12296,584,720,635,
2001,Croaker,12017423.77,3080205.07,180,12954,1123,1299,1190,
2001,Dolphinfish,160546.43,220794.62,65,1199,305,316,321,
2001,Eels,114272.00,125113.53,51,784,131,144,138,
2001,"Finfish, Other",1003001.99,535503.64,253,20144,1542,1804,1642,
2001,Gizzard Shad,245261.00,12263.05,20,1114,83,91,93,
2001,Groupers,558625.51,1255385.82,56,2404,216,237,228,
2001,Hard Clams,763572.60,5007241.13,95,48759,1828,1210,1898,
2001,Hickory Shad,172236.23,52166.13,73,3351,389,430,408,
2001,Hog Snapper,8203.06,15665.85,23,273,53,60,58,
2001,King Mackerel,839106.64,1353511.27,77,3652,456,496,483,
2001,Kingfishes,489742.94,501998.97,148,7222,662,781,703,
2001,Menhaden,56012396.01,4551444.64,110,5431,482,550,516,
2001,Monkfish/Goosefish,208412.75,232016.61,34,548,147,151,152,
2001,Oyster,258086.47,1068352.07,136,9402,651,612,674,
2001,Porgies,56414.92,62303.08,52,1400,159,177,169,
2001,Red Drum,149615.54,170547.50,146,8863,781,905,823,
2001,River Herring,306761.00,118545.95,38,1418,151,172,165,
2001,Sea bass,644840.27,1063188.54,69,2624,292,319,309,
2001,Sharks,1139067.93,520162.03,53,1235,187,202,197,
2001,"Sharks, Dogfishes",510756.00,125924.82,26,556,89,92,93,
2001,"Shellfish, Other",661037.46,1828824.06,128,5868,629,589,655,
2001,"Shrimp, Brown",3923539.89,8830577.28,196,8371,628,703,670,
2001,"Shrimp, Pink",211858.41,449928.84,56,2068,192,201,199,
2001,"Shrimp, Uncl",255580.21,653514.49,25,393,57,58,60,
2001,"Shrimp, White",863153.10,1976926.74,160,3537,400,445,421,
2001,Snappers,523741.68,1219288.96,46,1702,175,194,186,
2001,Southern Flounder,3522135.92,5690481.02,259,36006,1736,2124,1850,
2001,Spadefish,41993.75,11579.16,51,1082,229,246,234,
2001,Spanish Mackerel,653673.05,524262.54,122,3756,518,586,538,
2001,Spot,3093871.59,1278326.66,239,11912,1258,1457,1318,
2001,Spotted Seatrout,105714.23,134847.56,171,6490,901,1056,952,
2001,Striped Bass,626052.30,773102.14,93,12066,751,885,813,
2001,Striped Mullet,2317655.02,1181912.35,219,10726,1070,1245,1124,
2001,Summer Flounder,2784741.35,4451356.16,85,1713,275,296,287,
2001,Swordfish,596178.43,1313372.00,6,235,32,33,34,
2001,Tilefishes,106673.72,99198.16,28,539,66,75,70,
2001,Triggerfishes,87628.37,82532.09,56,1347,155,171,162,
2001,Tuna,1729572.45,2599881.46,86,3503,479,520,505,
2001,Wahoo,20502.73,41713.69,46,373,168,175,183,
2001,Weakfish,1960324.34,1037168.84,177,12030,1029,1205,1095,
2001,White Perch,244816.90,159075.01,89,6857,472,571,511,
2001,Yellow Perch,90526.59,87596.40,60,3465,297,347,313,
2002,Amberjacks,120643.97,69982.17,39,1178,176,183,183,
2002,American Shad,274656.69,174141.58,100,4292,401,432,424,
2002,Bay Scallop,19219.40,68364.89,23,335,74,68,74,
2002,Blue Crab,37736318.80,33148432.23,331,93620,1681,2036,1803,
2002,Blue Runner,4194.00,1359.43,14,259,45,46,48,
2002,Bluefish,2323964.36,776569.58,168,10133,885,1003,928,
2002,Catfishes,367664.61,95256.88,89,10900,507,616,541,
2002,Croaker,10189153.28,3233401.52,165,8815,957,1080,991,
2002,Dolphinfish,168428.56,243509.68,82,1434,318,336,340,
2002,Eels,64572.80,85398.77,44,579,104,111,108,
2002,"Finfish, Other",1230197.21,523812.94,266,23405,1636,1868,1727,
2002,Gizzard Shad,227459.25,9297.90,12,1478,84,93,94,
2002,Groupers,699579.04,1584583.54,56,2677,208,219,217,
2002,Hard Clams,619720.53,3505642.23,96,35597,1411,922,1469,
2002,Hickory Shad,51157.62,8285.84,67,1781,272,280,288,
2002,Hog Snapper,10636.78,20308.90,26,306,67,70,72,
2002,King Mackerel,778427.07,1177215.51,83,3155,447,479,484,
2002,Kingfishes,619747.92,603864.79,143,6474,663,739,695,
2002,Menhaden,69190595.51,5045406.91,113,6089,420,476,449,
2002,Monkfish/Goosefish,278608.00,232940.45,33,642,140,143,146,
2002,Oyster,243775.16,991003.70,135,9061,644,540,669,
2002,Porgies,64218.88,62410.64,43,1409,156,163,163,
2002,Red Drum,81369.87,89199.04,147,6709,737,841,768,
2002,River Herring,174829.75,65711.69,35,1902,146,163,158,
2002,Scup,***,***,2,4,2,2,2,*
2002,Sea bass,592248.85,878235.55,81,2480,305,327,323,
2002,Sharks,1707185.55,869823.23,39,1111,156,163,159,
2002,"Sharks, Dogfishes",341722.00,101357.50,14,469,65,67,66,
2002,"Shellfish, Other",648484.32,1402518.29,120,5660,558,547,582,
2002,"Shrimp, Brown",6029219.47,10905492.69,222,7719,656,711,682,
