Year,Annual Average Flux (kg N/d),Winter Average Flux (kg N/d),Spring Average Flux (kg N/d),Summer Average Flux (kg N/d),Fall Average Flux (kg N/d),Flow Normalized Annual Average Flux (kg N/d),Flow Normalized Winter Average Flux (kg N/d),Flow Normalized Spring Average Flux (kg N/d),Flow Normalized Summer Average Flux (kg N/d),Flow Normalized Fall Average Flux (kg N/d)
1989,7851.657337,9872.10142,11672.51631,4131.160409,5816.304986,4329.059346,7272.975229,4489.117616,2634.236811,2985.645664
1990,4759.021747,8679.805739,6946.314156,2018.789401,1500.187044,4410.478913,7397.627916,4617.442065,2656.106101,3037.92719
1991,2759.360997,5507.958299,2766.958913,2016.051946,806.3095302,4489.847898,7568.262794,4700.743126,2688.689904,3070.910168
1992,4651.467267,6978.16206,3001.261865,4062.532471,4571.265818,4462.824422,7578.644587,4654.424207,2647.849178,3006.329932
1993,4524.743583,11091.45985,5310.404849,629.2765541,1176.785543,4290.85407,7284.845628,4470.011044,2583.508994,2873.526648
1994,3075.181089,8303.102467,2430.602131,1112.41103,539.9184421,4107.791973,6903.86592,4275.34265,2537.954454,2759.546836
1995,4128.241203,5800.678767,3136.720142,2736.868006,4849.15421,3962.520686,6560.677599,4119.298142,2522.70058,2689.941979
1996,5442.953224,7226.18209,3685.016141,4933.183157,5927.706418,3854.510569,6289.587762,4011.459662,2504.837751,2640.3313
1997,3092.40905,6012.880399,4037.425652,1058.901127,1334.189449,3750.153906,6048.423082,3911.570417,2486.379849,2605.959175
1998,4450.842145,13304.65857,3214.332926,771.2967709,692.1142705,3706.807908,5929.27629,3872.522591,2467.369277,2608.179249
1999,6052.990917,4922.14993,1664.069216,11118.06047,6435.394877,3696.207985,5922.894426,3838.17968,2457.80561,2615.901621
2000,3998.207832,5479.50829,2677.328619,6193.348695,1644.389435,3719.212257,5964.375423,3852.940308,2467.550262,2617.840549
2001,2836.230924,3577.347731,5176.961535,2168.611383,463.5570078,3724.346045,5987.20677,3868.179741,2481.019429,2611.734274
2002,3473.29045,3142.854016,1596.197268,2622.785033,6503.738894,3731.649389,6005.736834,3892.247285,2482.579797,2597.215952
2003,6916.302248,8773.144425,9575.111701,5216.694158,4169.524947,3741.369169,6055.729263,3923.107439,2467.01662,2571.910945
2004,3909.141977,4161.238165,2398.181292,5752.665939,3310.799202,3772.743898,6160.434215,3964.064978,2455.066057,2539.443073
2005,3032.677361,5367.557911,4116.153817,799.8645413,1909.668365,3788.836813,6223.658706,4006.546773,2458.209366,2522.22973
2006,5016.279425,2567.778738,5826.945519,5214.670995,6411.30576,3854.870612,6333.856439,4090.040966,2501.233138,2550.799098
2007,2150.196824,5564.294413,2414.258303,338.3459437,360.9783833,3965.044066,6537.629249,4207.549053,2555.754464,2617.805186
2008,2234.781292,3020.079967,3448.448772,996.9069805,1495.417341,4066.547157,6710.724027,4319.936399,2592.767371,2674.256115
2009,3039.374852,5043.838842,2754.178672,362.6453121,4037.311927,4125.903394,6801.347407,4414.288843,2619.485554,2729.788224
2010,3278.112132,8194.850887,3193.185923,379.201569,1451.172663,4235.400363,7001.97781,4520.540222,2648.769161,2833.556594
2011,2070.17305,2176.593223,1813.587199,2551.031658,1739.004625,4423.000906,7362.698041,4645.292398,2741.053959,3009.281897
2012,2241.694662,3062.023256,2514.058905,2228.787272,1173.78631,4675.788392,7819.019673,4830.324609,2888.079516,3201.57507
2013,3786.573989,4876.370406,4520.068126,3915.141903,1866.379509,4789.719747,8114.026695,4896.203182,2951.144063,3270.93002
2014,5929.325735,7942.085488,7205.839954,3579.093353,5047.914948,4803.579019,8095.923396,4873.960758,2986.279983,3330.489663
2015,5008.418739,9941.459882,3417.176482,537.8562439,6227.126264,4823.908347,8094.898929,4866.564142,3016.5543,3389.188157
2016,6417.697361,10275.88773,4410.596813,3404.609394,7599.81605,4866.954231,8141.046404,4871.173312,3045.612984,3445.618041
2017,3248.252931,3216.978206,7574.720655,1373.871211,873.788588,4888.757163,8176.368577,4870.329763,3076.702125,3502.897701
2018,5007.866634,4205.557002,4697.62305,3803.166241,7304.306515,4923.834142,8221.248572,4877.623205,3107.580439,3560.064984
2019,4556.868326,10755.87116,4523.413048,1099.100287,1983.486094,4959.769405,8265.350915,4887.670826,3139.272649,3617.860016
