"","year","season","id","mean_salinity","samplesize_salinity","mean_temperature","samplesize_temperature","mean_dissolvedoxygen","samplesize_dissolvedoxygen","mean_pH","samplesize_pH"
"62",1988,"spring","CAPEFEAR",6.83333333333333,6,19.7981481481482,6,6.98333333333333,6,7.17666666666667,6
"63",1988,"summer","CAPEFEAR",4.83333333333333,6,27.6666666666667,6,4.98333333333333,6,6.9,5
"64",1988,"winter","CAPEFEAR",3.5,5,7.8,5,10.64,5,6.68,5
"65",1989,"fall","CAPEFEAR",2,4,13.237037037037,6,8.06666666666667,6,6.43333333333333,6
"66",1989,"spring","CAPEFEAR",3.25,4,19.5,6,6.91666666666667,6,6.93333333333333,6
"67",1989,"summer","CAPEFEAR",6.2,4,28.75,4,4.275,4,6.9,4
"68",1989,"winter","CAPEFEAR",5.75,4,11.2324074074074,6,9.28333333333333,6,7.3,6
"69",1990,"fall","CAPEFEAR",4.15,6,14.9342592592593,6,7.01666666666667,6,7.18,5
"70",1990,"spring","CAPEFEAR",2,6,19.5,6,6.58333333333333,6,7.05,4
"71",1990,"summer","CAPEFEAR",10,6,28.3333333333333,6,4.18333333333333,6,7.15,6
"72",1990,"winter","CAPEFEAR",0.2,5,11.8685185185185,6,9.68333333333333,6,6.65,6
"73",1991,"fall","CAPEFEAR",8,5,17.5477777777778,5,6.78,5,7.2,5
"74",1991,"spring","CAPEFEAR",10.5833333333333,6,22.3638888888889,6,5.55,6,6.8,6
"75",1991,"summer","CAPEFEAR",5.875,4,27.375,4,4.2,4,6.95,4
"76",1991,"winter","CAPEFEAR",0.916666666666667,6,10.9648148148148,6,9.53333333333333,6,6.835,6
"77",1992,"fall","CAPEFEAR",6.06666666666667,6,14.3333333333333,6,7.95,6,6.81666666666667,6
"78",1992,"spring","CAPEFEAR",1.5,4,22.875,4,6,4,6.85,4
"79",1992,"summer","CAPEFEAR",6.75,6,27.0833333333333,6,3.68333333333333,6,6.625,6
"80",1992,"winter","CAPEFEAR",5.9125,8,10.7631944444444,8,9.6625,8,7.425,8
"81",1993,"fall","CAPEFEAR",13.075,4,18.4541666666667,4,7.2,4,7.025,4
"82",1993,"spring","CAPEFEAR",6.31666666666667,6,22.5175925925926,6,6.11666666666667,6,6.74,5
"83",1993,"summer","CAPEFEAR",14.38,5,28.75,6,4.61666666666667,6,7.06666666666667,6
"84",1993,"winter","CAPEFEAR",0.675,4,9.17083333333334,4,10.75,4,6.8125,4
"85",1994,"fall","CAPEFEAR",5.78333333333333,6,15.9342592592593,6,7,6,6.8,5
"86",1994,"spring","CAPEFEAR",9.01666666666667,6,23.8990740740741,6,6.3,6,6.83333333333333,6
"87",1994,"summer","CAPEFEAR",2.85,6,26.4166666666667,6,4.96666666666667,6,6.68333333333333,6
"88",1994,"winter","CAPEFEAR",2.625,4,11.9208333333333,4,9.3,4,6.75,4
"89",1995,"fall","CAPEFEAR",3.55,2,19.3944444444444,2,5.6,2,6.65,2
"90",1995,"spring","CAPEFEAR",9.25,6,24.6138888888889,6,5.45,6,6.86666666666667,6
"91",1995,"summer","CAPEFEAR",4.4,4,25.6972222222222,4,4.225,4,6.725,4
"92",1995,"winter","CAPEFEAR",0.733333333333333,6,11.1314814814815,6,8.71666666666667,6,6.88333333333333,6
"93",1996,"fall","CAPEFEAR",1.825,4,16.7805555555556,6,6.76666666666667,6,6.525,4
"94",1996,"spring","CAPEFEAR",1.3875,8,20.7722222222222,9,6.67777777777778,9,6.65555555555556,9
"95",1996,"summer","CAPEFEAR",0,2,27.1444444444444,4,3.775,4,6.625,4
"96",1996,"winter","CAPEFEAR",2.08333333333333,6,8.18425925925926,6,10.8833333333333,6,7.23333333333333,6
"97",1997,"fall","CAPEFEAR",8.25833333333333,6,15.5166666666667,6,6.8,6,7.06,5
"98",1997,"spring","CAPEFEAR",NA,NA,22.7166666666667,6,6.03333333333333,6,6.86666666666667,6
"99",1997,"summer","CAPEFEAR",11.0166666666667,6,27.0555555555556,6,4.30555555555556,6,6.68333333333333,6
"100",1997,"winter","CAPEFEAR",NA,NA,11.2625,8,9.5375,8,6.8625,8
"101",1998,"fall","CAPEFEAR",13.3166666666667,6,16.64,5,7.85,6,7.16666666666667,6
"102",1998,"spring","CAPEFEAR",1.33333333333333,3,22.3666666666667,6,6.03333333333333,6,6.48333333333333,6
"103",1998,"summer","CAPEFEAR",7.04,5,27.7,6,2.88333333333333,6,6.66666666666667,6
"104",1998,"winter","CAPEFEAR",NA,NA,10.7,6,8.81666666666667,6,6.3,6
"105",1999,"fall","CAPEFEAR",4.475,4,16.35,6,6.16666666666667,6,6.66,5
"106",1999,"spring","CAPEFEAR",9.47222222222222,6,23.1166666666667,6,6.4,6,7.11111111111111,6
"107",1999,"summer","CAPEFEAR",7.20555555555556,6,26.9555555555556,6,4.68333333333333,6,6.51666666666667,6
"108",1999,"winter","CAPEFEAR",1.88333333333333,6,10.8555555555556,6,9.36666666666667,6,7.12777777777778,6
"109",2000,"fall","CAPEFEAR",9.475,4,11.8333333333333,6,7.88888888888889,6,6.86111111111111,6
"110",2000,"spring","CAPEFEAR",9.61666666666667,6,23,6,6.77222222222222,6,7.19444444444444,6
"111",2000,"summer","CAPEFEAR",9.25,6,26,6,4.66666666666667,6,6.98888888888889,6
"112",2000,"winter","CAPEFEAR",1.13888888888889,6,8.9,6,10.7166666666667,6,6.58333333333333,6
"113",2001,"fall","CAPEFEAR",19.7777777777778,6,18.3722222222222,6,6.99444444444444,6,7.33888888888889,6
"114",2001,"spring","CAPEFEAR",8.45,6,21.9055555555556,6,6.10555555555556,6,7.10555555555556,6
"115",2001,"summer","CAPEFEAR",13.1611111111111,6,26.4055555555556,6,4.75555555555556,6,7.26666666666667,6
"116",2001,"winter","CAPEFEAR",6.36666666666667,4,9.74166666666667,4,9.08333333333333,4,7.07777777777778,3
"117",2002,"fall","CAPEFEAR",4.84444444444444,6,13.6111111111111,6,7.86111111111111,6,7.07222222222222,6
"118",2002,"spring","CAPEFEAR",15.74,5,23.2555555555556,6,5.88333333333333,6,7.45,6
"119",2002,"summer","CAPEFEAR",18.2133333333333,5,28.5133333333333,5,3.93333333333333,5,7.02,5
"120",2002,"winter","CAPEFEAR",5.01666666666667,4,10.7583333333333,4,9.54166666666667,4,7.58333333333333,4
"121",2003,"fall","CAPEFEAR",4.53333333333333,8,16.0083333333333,8,6.61666666666667,8,6.92916666666667,8
"122",2003,"spring","CAPEFEAR",3.65833333333333,4,24.325,4,5.08333333333333,4,6.96666666666667,4
"123",2003,"summer","CAPEFEAR",0.441666666666667,4,26.8916666666667,4,4.01666666666667,4,6.76666666666667,4
"124",2003,"winter","CAPEFEAR",1.94166666666667,4,11.625,4,8.15833333333333,4,7.30833333333333,4
"125",2004,"fall","CAPEFEAR",13.2444444444444,6,19.3611111111111,6,6.64444444444444,6,7.36111111111111,6
"126",2004,"spring","CAPEFEAR",12.1555555555556,6,24.9,6,5.85555555555556,6,7.37777777777778,6
"127",2004,"summer","CAPEFEAR",8,6,25.8111111111111,6,4.70555555555556,6,6.91666666666667,6
"128",2004,"winter","CAPEFEAR",13.4055555555556,6,9.77777777777778,6,9.35,6,7.45,6
"129",2005,"fall","CAPEFEAR",9.09888888888889,6,13.3277777777778,6,8.28333333333333,6,7.24444444444444,6
"130",2005,"spring","CAPEFEAR",10.6,6,22.3333333333333,6,5.90555555555556,6,7.27777777777778,6
"131",2005,"summer","CAPEFEAR",8.81,2,29.35,2,3.8,2,7.08333333333333,2
"132",2005,"winter","CAPEFEAR",8.9,6,12.9222222222222,6,9.56666666666667,6,7.7,6
"133",2006,"fall","CAPEFEAR",6.79,6,13.1277777777778,6,7.29444444444444,6,7.16666666666667,4
"134",2006,"spring","CAPEFEAR",8.315,4,20.8,4,6.24166666666667,4,7.275,4
"135",2006,"summer","CAPEFEAR",9.33666666666667,6,26.5944444444444,6,3.69444444444444,6,7.01111111111111,6
"136",2006,"winter","CAPEFEAR",8.44888888888889,6,11.4111111111111,6,8.95,6,7.28333333333333,6
"137",2007,"fall","CAPEFEAR",24.0566666666667,3,17.1722222222222,6,6.85555555555556,6,7.31666666666667,6
"138",2007,"spring","CAPEFEAR",15.5661111111111,6,23.9166666666667,6,6.07222222222222,6,7.36666666666667,6
"139",2007,"summer","CAPEFEAR",25.7266666666667,4,27.4777777777778,6,4.55833333333333,4,7.3,4
"140",2007,"winter","CAPEFEAR",8.13166666666667,2,12.0333333333333,4,8.45,2,7.03333333333333,4
"141",2008,"fall","CAPEFEAR",12.5616666666667,6,18.8611111111111,6,6.06111111111111,6,7.12222222222222,6
"142",2008,"spring","CAPEFEAR",11.0283333333333,6,22.5555555555556,6,6.15,6,7.13333333333333,6
"143",2008,"summer","CAPEFEAR",21.2483333333333,4,28.35,4,4.13333333333333,4,7.525,4
"144",2008,"winter","CAPEFEAR",15.4216666666667,2,11.7916666666667,4,8.68333333333333,4,7.00833333333333,4
"145",2009,"fall","CAPEFEAR",18.7183333333333,4,17.7416666666667,4,6.44166666666667,4,7.55,4
"146",2009,"spring","CAPEFEAR",9.61722222222222,6,24.5388888888889,6,5.87222222222222,6,7.20555555555556,6
"147",2009,"summer","CAPEFEAR",14.6661111111111,6,27.3555555555556,6,4.02777777777778,6,7.08333333333333,6
"148",2009,"winter","CAPEFEAR",9.72277777777778,6,10.5833333333333,6,9.29444444444444,6,7.26111111111111,6
"149",2010,"fall","CAPEFEAR",7.45444444444444,3,18.7777777777778,3,4.88888888888889,3,6.48888888888889,3
"150",2010,"spring","CAPEFEAR",13.038,5,22.8133333333333,5,6.08666666666667,5,7.3,5
"151",2010,"summer","CAPEFEAR",20.8422222222222,6,29.3333333333333,6,4.87222222222222,6,7.4,6
"152",2010,"winter","CAPEFEAR",6.64277777777778,6,7.67777777777778,6,10.3611111111111,6,6.96111111111111,6
"153",2011,"fall","CAPEFEAR",18.8616666666667,6,16.6277777777778,6,7.13888888888889,6,7.52777777777778,6
"154",2011,"spring","CAPEFEAR",11.9994444444444,6,22.2277777777778,6,6.21666666666667,6,7.34166666666667,4
"155",2011,"summer","CAPEFEAR",20.8327777777778,6,28.6444444444444,6,4.62222222222222,6,7.32777777777778,6
"156",2011,"winter","CAPEFEAR",12.7625,8,10.1625,8,9.35,8,7.48888888888889,6
"157",2012,"fall","CAPEFEAR",18.3916666666667,4,17.875,4,6.70833333333333,4,7.54166666666667,4
"158",2012,"spring","CAPEFEAR",11.6394444444444,6,23.1888888888889,6,5.46111111111111,6,7.08888888888889,6
"159",2012,"summer","CAPEFEAR",15.0166666666667,6,28.0666666666667,6,3.94444444444444,6,7.20555555555556,6
"160",2012,"winter","CAPEFEAR",13.53,6,14.9722222222222,6,8.06666666666667,6,7.46666666666667,6
"161",2013,"fall","CAPEFEAR",18.2377777777778,6,15.75,6,7.26666666666667,6,7.51111111111111,6
"162",2013,"spring","CAPEFEAR",6.89,7,18.7904761904762,7,7.05333333333333,5,7.05714285714286,7
"163",2013,"summer","CAPEFEAR",8.21333333333333,4,26.7277777777778,6,3.80555555555556,6,6.48888888888889,6
"164",2013,"winter","CAPEFEAR",10.1283333333333,4,11.4416666666667,4,8.90833333333333,4,7.175,4
"165",2014,"fall","CAPEFEAR",14.6044444444444,6,16.8888888888889,6,6.81666666666667,6,7.24444444444444,6
"166",2014,"spring","CAPEFEAR",6.54277777777778,6,23.3333333333333,6,5.67222222222222,6,6.77222222222222,6
"167",2014,"summer","CAPEFEAR",9.53555555555556,6,27.2333333333333,6,3.9,6,6.85555555555556,6
"168",2014,"winter","CAPEFEAR",4.69833333333333,6,9.98333333333333,6,9.42222222222222,6,6.77777777777778,6
"169",2015,"fall","CAPEFEAR",9.48666666666667,6,17.6777777777778,6,6.61111111111111,6,6.80555555555556,6
"170",2015,"spring","CAPEFEAR",6.95944444444444,6,24.7777777777778,6,5.51111111111111,6,6.91666666666667,6
"171",2015,"summer","CAPEFEAR",14.7077777777778,6,27.6083333333333,4,4.1,4,7.31666666666667,2
"172",2015,"winter","CAPEFEAR",1.11916666666667,4,8.90833333333333,4,9.90833333333333,4,6.45,4
"173",2016,"fall","CAPEFEAR",15.9308333333333,2,15.45,2,7.66666666666667,2,7.41666666666667,2
"174",2016,"spring","CAPEFEAR",10.085,6,23.4555555555556,6,5.69444444444444,6,7.03333333333333,6
"175",2016,"summer","CAPEFEAR",12.465,2,29.9166666666667,2,3.9,2,7.28333333333333,2
"176",2016,"winter","CAPEFEAR",3.54194444444444,6,12.1777777777778,6,8.64166666666667,6,6.55777777777778,6
"177",2017,"fall","CAPEFEAR",14.61,6,17.0166666666667,6,7.81833333333333,6,7.41666666666667,6
"178",2017,"summer","CAPEFEAR",6.3,4,27.8,4,4.675,4,7.025,4
"179",2017,"winter","CAPEFEAR",14.412828375,2,15.061804375,2,8.64969852083333,2,7.54518533333333,2
"180",2018,"fall","CAPEFEAR",1.045,2,9,2,9.95,2,6.7,2
"181",2018,"spring","CAPEFEAR",5.30666666666667,3,24.9266666666667,3,5.49,3,6.63666666666667,3
"182",2018,"summer","CAPEFEAR",3.3,2,27.75,2,4.82,2,6.645,2
"183",2018,"winter","CAPEFEAR",4.5,2,13.245,2,8.7475,2,6.3875,2
"184",2019,"fall","CAPEFEAR",11.9283333333333,6,16.1166666666667,6,7.98333333333333,6,7.3,6
"185",2019,"spring","CAPEFEAR",1.6,2,18.15,2,7.5,2,6.6,2
"186",2019,"summer","CAPEFEAR",8.92,5,28.9,6,4.68333333333333,6,6.86666666666667,6
"187",2019,"winter","CAPEFEAR",2.25666666666667,6,12.2666666666667,6,9.23333333333333,6,6.95,6
"188",2020,"winter","CAPEFEAR",2.36666666666667,6,12.5666666666667,6,9.5,6,6.7,5
