Year,Annual Average Flux (kg P/d),Winter Average Flux (kg P/d),Spring Average Flux (kg P/d),Summer Average Flux (kg P/d),Fall Average Flux (kg P/d),Flow Normalized Annual Average Flux (kg P/d),Flow Normalized Winter Average Flux (kg P/d),Flow Normalized Spring Average Flux (kg P/d),Flow Normalized Summer Average Flux (kg P/d),Flow Normalized Fall Average Flux (kg P/d)
1993,1979.975101,4373.737472,2263.886895,589.158222,748.2421268,1871.482424,2695.146614,1538.423545,1547.40741,1719.237665
1994,1562.81839,2785.831257,1142.177311,1380.740852,964.5391931,1928.457703,2803.057157,1599.720955,1573.281458,1753.211046
1995,2786.033902,3854.371497,1750.761185,2225.139306,3325.835387,1969.45509,2877.740855,1646.096764,1583.573691,1786.639629
1996,2939.562089,3028.68496,1402.238067,4414.921645,2896.662365,2021.091825,2956.039655,1689.671276,1600.17275,1845.043699
1997,1960.024588,3269.663159,1818.775492,1393.183137,1385.411653,2081.346116,3072.098396,1727.9756,1622.53916,1920.468417
1998,3136.603519,8644.180961,2334.493988,807.8598685,870.8906194,2145.552334,3205.619039,1761.663664,1657.140671,1976.658188
1999,2345.517754,2432.805729,1037.203324,2796.821603,3102.917117,2187.779884,3294.614051,1786.903278,1696.429065,1992.877398
2000,1838.457148,3539.343365,1135.235879,1633.963488,1056.130046,2205.879618,3336.718323,1816.177798,1709.076161,1969.602026
2001,1223.731118,1451.516194,1554.822711,1144.476198,752.6600404,2198.397513,3353.566384,1845.352854,1684.12233,1931.823409
2002,1517.936699,1436.091314,590.6744299,580.0538167,3453.069049,2195.447892,3365.103217,1884.756703,1642.74077,1911.241089
2003,3987.516494,4549.810138,5228.087729,4468.161573,1729.714779,2205.846956,3405.76036,1927.35593,1610.533507,1902.796024
2004,1861.255809,1926.085324,1199.408564,2597.983323,1715.056703,2226.293762,3453.498398,1976.170827,1597.638488,1888.487788
2005,1558.685866,2644.248923,1384.868458,880.3050122,1347.030948,2215.270385,3432.151385,1994.451947,1594.554407,1863.977533
2006,1916.818972,1069.020606,1770.281752,1354.832193,3453.118143,2195.107458,3348.360873,2002.87889,1604.617004,1847.554352
2007,1294.161,3009.800705,1295.708586,399.5144337,508.9336107,2178.010451,3249.667875,2016.226899,1605.697888,1861.987524
2008,1545.493333,1267.760304,1430.136995,1982.886472,1496.916849,2172.570075,3200.866576,2012.336383,1574.45945,1912.053356
2009,1884.707015,2353.648712,1437.911139,591.3109073,3161.295207,2187.950008,3241.884704,1992.724492,1553.326719,1984.653724
2010,1757.058289,4381.671384,1161.935801,631.8873838,903.3266687,2226.972094,3352.033688,1982.885401,1539.19524,2055.578792
2011,809.8981379,934.2024838,863.5633314,553.9781392,891.1341829,2286.846908,3486.849493,1978.944796,1556.890675,2147.442921
2012,883.3368143,1149.332724,731.6715082,907.9561568,745.629592,2355.950033,3613.940671,1981.530864,1614.643774,2223.288859
2013,1906.316211,1559.387211,2351.939358,2773.496287,937.7437838,2373.788937,3691.190783,1981.483018,1656.266842,2190.590082
2014,2017.202508,4319.315112,1929.888938,859.4168289,1009.286017,2317.363179,3611.799382,1952.087819,1640.893733,2088.841315
2015,2520.639519,2773.213294,1371.566122,620.4274347,5310.352032,2242.793739,3457.56053,1906.417752,1609.971291,2019.977096
2016,2801.456837,4431.115132,1430.243884,1350.255609,4023.590024,2191.912405,3344.693414,1866.612558,1585.574784,1975.048797
2017,1227.652212,1294.461219,2379.722573,708.87537,541.5245584,2128.960175,3248.422011,1823.918211,1552.923683,1911.597247
2018,3765.468543,1223.10429,1589.414901,4998.697578,7171.735857,2076.374466,3158.976497,1782.513533,1521.610566,1862.737954
2019,2488.051167,5334.820999,2546.573697,804.7209949,1328.611393,2025.861498,3071.814972,1740.189549,1496.550153,1814.524308
2020,3363.549047,3743.847137,3373.981771,2090.095894,4270.22889,1978.068785,2985.619188,1698.81556,1472.443958,1758.540352
