Year,Annual Average Flux (kg P/d),Winter Average Flux (kg P/d),Spring Average Flux (kg P/d),Summer Average Flux (kg P/d),Fall Average Flux (kg P/d),Flow Normalized Annual Average Flux (kg P/d),Flow Normalized Winter Average Flux (kg P/d),Flow Normalized Spring Average Flux (kg P/d),Flow Normalized Summer Average Flux (kg P/d),Flow Normalized Fall Average Flux (kg P/d)
2011,637.560842,543.8116769,664.9419279,944.6808074,395.0685509,1195.585066,1427.924693,1280.729816,1154.900275,924.7618295
2012,747.2387495,737.8312945,961.9876786,898.5901368,392.7778606,1197.293845,1423.345614,1279.030787,1165.406181,924.7383283
2013,1380.948947,1027.073296,1569.375646,2316.960001,604.7420116,1181.556002,1402.651395,1256.623209,1160.569107,912.0026664
2014,1667.223453,1865.46421,1874.932222,1969.001861,966.0628042,1151.24587,1372.227412,1222.60936,1127.076121,888.6502227
2015,1380.38602,2051.543371,1353.7435,390.8224928,1739.735499,1120.119382,1344.995293,1185.03316,1088.770927,867.272338
2016,1736.861513,2033.897084,1004.202824,1201.962707,2702.648403,1092.302222,1322.354133,1152.963431,1051.259028,845.792222
2017,871.036646,630.1137882,1908.582942,639.2778539,320.8711739,1059.147774,1296.040308,1108.853392,1015.526348,824.9763596
2018,1732.560162,789.5627553,1186.541699,2931.147179,1996.554086,1030.37819,1265.599301,1078.666824,979.7641124,803.1209005
2019,1032.011973,1669.573562,1191.395032,797.8767656,484.7949916,999.6870339,1235.532596,1043.529097,944.2604797,781.0295844
2020,1576.201464,1222.939459,1549.866931,1612.067383,1923.352801,971.5720691,1206.389706,1011.927532,909.1850486,757.1148881
