Year,SouthernFlounderSSBkg,StripedMulletSSBKg,SpottedSeaTroutSSBkg,ProportionAdultKingfishesLargerL50,StripedBassSSBkg,BlueCrabSSB,AmShadAlbSoundJAI,RedDrumJuvSeineSurveyCPUE,BluebackHerringProportionReturnSpawner,AlewifeProportionReturnSpawner,SheepsheadCPUEJuv
1986,NA,1547000,NA,NA,NA,NA,NA,NA,0.16,0.04,NA
1987,NA,1487000,NA,0.611,NA,NA,NA,NA,0.22,NA,NA
1988,NA,1330000,NA,0.45,NA,NA,NA,NA,0.11,0.06,NA
1989,1972000,1128000,NA,0.3,NA,NA,NA,NA,0.04,0.09,NA
1990,2190000,1117000,NA,0.563,NA,NA,NA,NA,0.12,0.17,NA
1991,2274000,952000,738869.3027,0.667,219100,NA,NA,15.12,0.31,0.21,NA
1992,2939000,1005000,512782.6687,0.429,209400,NA,NA,3.71,0.26,0.48,NA
1993,3161000,984000,447637.4393,0.543,220500,NA,NA,12.65,0.12,0.05,NA
1994,3004000,736000,444145.8479,0.794,210700,NA,NA,8.29,0.05,NA,NA
1995,2352000,682000,414418.5419,0.44,204800,82273521,NA,4.61,0.06,0.08,NA
1996,2249000,580000,317853.2652,0.872,208700,104324516,0.7294,2.63,0.13,0.29,NA
1997,2490000,694000,487133.0343,0.589,250400,96597894,0.5059,13.13,0.15,0.29,NA
1998,2477000,719000,703439.3153,1,296500,107233453,0.1124,8.23,0.07,NA,NA
1999,2567000,659000,682960.8024,0.92,326200,100352402,0.2209,1.84,0.13,0.67,NA
2000,2235000,807000,312852.0434,0.733,346100,71272049,1.95,3.14,0.14,0.08,NA
2001,2179000,672000,210029.4396,0.66,312900,59719396,0.3535,0.97,0.09,0.13,NA
2002,2465000,630000,283524.7469,0.704,293000,63651378,0.84,2.23,0.13,0.38,NA
2003,2281000,457000,373729.3324,0.872,290800,70828185,7.52,5.01,0.16,0.3,NA
2004,2139000,424000,633714.6859,0.513,315200,57225586,1.8252,8.32,0.09,0.2,0.00 
2005,2708000,411000,1172090.112,0.594,256900,43052577,2.0505,9.02,0.13,0.15,0.00 
2006,3427000,420000,1538895.552,0.541,178700,43475498,0.3302,3.44,0,0.09,0.11 
2007,3411000,484000,2236180.689,0.343,116400,41593047,0.019,5.46,0.09,0.1,0.11 
2008,2510000,520000,2190598.827,0.488,92010,66483240,0.2381,1.58,0.05,0.14,0.87 
2009,2257000,468000,2101538.657,0.586,125500,65686568,0.7725,1.89,0.03,0.14,0.06 
2010,2020000,507000,2150591.913,0.529,146300,56354843,0.479,4.69,0.06,0.41,0.06 
2011,1855000,474000,2593404.508,0.432,125500,61593266,0.8535,10.82,0.12,0.27,0.22 
2012,2008000,471000,2879786.781,0.511,81710,64228510,0.3291,2.69,0.13,0.29,0.07 
2013,1735000,424000,2374186.717,0.659,23060,65144203,0.6178,1.11,0.14,0.11,0.07 
2014,1229000,419000,1851341.25,0.422,37840,48142040,2.3533,2.25,0.13,0.05,0.15 
2015,1295000,334000,1870259.51,0.534,72490,49281556,2.4747,4.88,0.17,0.18,0.65 
2016,1348000,270000,2298878.596,0.358,56290,49977889,12.2147,5.93,0.16,0.2,0.22 
2017,1031000,267000,2141867.057,0.503,47640,NA,1.2156,NA,0.07,0.33,0.00 
2018,NA,270000,2350865.173,0.639,61350,NA,5.4491,NA,0.11,0.31,0.02 
2019,NA,263000,2337974.214,0.525,74670,NA,7.3608,NA,0.13,0.24,0.04 
2020,NA,NA,NA,NA,49130,NA,0.9281,NA,0.11,0.35,0.19 
2021,NA,NA,NA,NA,16130,NA,3.1856,NA,0.16,0.37,0.02 
2022,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA
