"","direction","nofdays","season","year","id"
"39","NE",4,"winter",2010,"beaufwind.csv"
"40","NW",23,"winter",2010,"beaufwind.csv"
"41","S",12,"winter",2010,"beaufwind.csv"
"42","SE",9,"winter",2010,"beaufwind.csv"
"43","SW",16,"winter",2010,"beaufwind.csv"
"44","W",20,"winter",2010,"beaufwind.csv"
"45","E",8,"spring",2010,"beaufwind.csv"
"46","NE",6,"spring",2010,"beaufwind.csv"
"47","S",12,"spring",2010,"beaufwind.csv"
"48","SE",15,"spring",2010,"beaufwind.csv"
"49","SW",46,"spring",2010,"beaufwind.csv"
"50","W",4,"spring",2010,"beaufwind.csv"
"51","E",18,"summer",2010,"beaufwind.csv"
"52","NE",10,"summer",2010,"beaufwind.csv"
"53","S",15,"summer",2010,"beaufwind.csv"
"54","SE",8,"summer",2010,"beaufwind.csv"
"55","SW",33,"summer",2010,"beaufwind.csv"
"56","W",8,"summer",2010,"beaufwind.csv"
"57","E",4,"fall",2010,"beaufwind.csv"
"58","N",2,"fall",2010,"beaufwind.csv"
"59","NE",8,"fall",2010,"beaufwind.csv"
"60","NW",19,"fall",2010,"beaufwind.csv"
"61","S",10,"fall",2010,"beaufwind.csv"
"62","SE",14,"fall",2010,"beaufwind.csv"
"63","SW",18,"fall",2010,"beaufwind.csv"
"64","W",17,"fall",2010,"beaufwind.csv"
"65","E",13,"winter",2011,"beaufwind.csv"
"66","NE",16,"winter",2011,"beaufwind.csv"
"67","NW",5,"winter",2011,"beaufwind.csv"
"68","S",14,"winter",2011,"beaufwind.csv"
"69","SE",9,"winter",2011,"beaufwind.csv"
"70","SW",20,"winter",2011,"beaufwind.csv"
"71","W",13,"winter",2011,"beaufwind.csv"
"72","E",6,"spring",2011,"beaufwind.csv"
"73","NE",1,"spring",2011,"beaufwind.csv"
"74","S",19,"spring",2011,"beaufwind.csv"
"75","SE",8,"spring",2011,"beaufwind.csv"
"76","SW",18,"spring",2011,"beaufwind.csv"
"77","W",10,"spring",2011,"beaufwind.csv"
"78","E",13,"summer",2011,"beaufwind.csv"
"79","NE",7,"summer",2011,"beaufwind.csv"
"80","S",20,"summer",2011,"beaufwind.csv"
"81","SE",10,"summer",2011,"beaufwind.csv"
"82","SW",36,"summer",2011,"beaufwind.csv"
"83","W",6,"summer",2011,"beaufwind.csv"
"84","E",10,"fall",2011,"beaufwind.csv"
"85","N",4,"fall",2011,"beaufwind.csv"
"86","NE",10,"fall",2011,"beaufwind.csv"
"87","NW",7,"fall",2011,"beaufwind.csv"
"88","S",14,"fall",2011,"beaufwind.csv"
"89","SE",15,"fall",2011,"beaufwind.csv"
"90","SW",22,"fall",2011,"beaufwind.csv"
"91","W",10,"fall",2011,"beaufwind.csv"
"92","E",12,"winter",2012,"beaufwind.csv"
"93","NE",3,"winter",2012,"beaufwind.csv"
"94","NW",4,"winter",2012,"beaufwind.csv"
"95","S",19,"winter",2012,"beaufwind.csv"
"96","SE",14,"winter",2012,"beaufwind.csv"
"97","SW",29,"winter",2012,"beaufwind.csv"
"98","W",10,"winter",2012,"beaufwind.csv"
"99","E",11,"spring",2012,"beaufwind.csv"
"100","N",1,"spring",2012,"beaufwind.csv"
"101","NE",10,"spring",2012,"beaufwind.csv"
"102","NW",2,"spring",2012,"beaufwind.csv"
"103","S",16,"spring",2012,"beaufwind.csv"
"104","SE",14,"spring",2012,"beaufwind.csv"
"105","SW",27,"spring",2012,"beaufwind.csv"
"106","W",10,"spring",2012,"beaufwind.csv"
"107","E",5,"summer",2012,"beaufwind.csv"
"108","N",1,"summer",2012,"beaufwind.csv"
"109","NE",9,"summer",2012,"beaufwind.csv"
"110","S",23,"summer",2012,"beaufwind.csv"
"111","SE",9,"summer",2012,"beaufwind.csv"
"112","SW",41,"summer",2012,"beaufwind.csv"
"113","W",4,"summer",2012,"beaufwind.csv"
"114","E",10,"fall",2012,"beaufwind.csv"
"115","N",5,"fall",2012,"beaufwind.csv"
"116","NE",13,"fall",2012,"beaufwind.csv"
"117","NW",9,"fall",2012,"beaufwind.csv"
"118","S",10,"fall",2012,"beaufwind.csv"
"119","SE",11,"fall",2012,"beaufwind.csv"
"120","SW",21,"fall",2012,"beaufwind.csv"
"121","W",13,"fall",2012,"beaufwind.csv"
"122","E",10,"winter",2013,"beaufwind.csv"
"123","NE",8,"winter",2013,"beaufwind.csv"
"124","NW",14,"winter",2013,"beaufwind.csv"
"125","S",14,"winter",2013,"beaufwind.csv"
"126","SE",10,"winter",2013,"beaufwind.csv"
"127","SW",18,"winter",2013,"beaufwind.csv"
"128","W",16,"winter",2013,"beaufwind.csv"
"129","E",11,"spring",2013,"beaufwind.csv"
"130","N",1,"spring",2013,"beaufwind.csv"
"131","NE",11,"spring",2013,"beaufwind.csv"
"132","S",24,"spring",2013,"beaufwind.csv"
"133","SE",11,"spring",2013,"beaufwind.csv"
"134","SW",31,"spring",2013,"beaufwind.csv"
"135","W",2,"spring",2013,"beaufwind.csv"
"136","E",11,"summer",2013,"beaufwind.csv"
"137","NE",17,"summer",2013,"beaufwind.csv"
"138","S",17,"summer",2013,"beaufwind.csv"
"139","SE",14,"summer",2013,"beaufwind.csv"
"140","SW",30,"summer",2013,"beaufwind.csv"
"141","W",3,"summer",2013,"beaufwind.csv"
"142","E",10,"fall",2013,"beaufwind.csv"
"143","N",4,"fall",2013,"beaufwind.csv"
"144","NE",12,"fall",2013,"beaufwind.csv"
"145","NW",5,"fall",2013,"beaufwind.csv"
"146","S",16,"fall",2013,"beaufwind.csv"
"147","SE",20,"fall",2013,"beaufwind.csv"
"148","SW",14,"fall",2013,"beaufwind.csv"
"149","W",11,"fall",2013,"beaufwind.csv"
"150","E",11,"winter",2014,"beaufwind.csv"
"151","N",5,"winter",2014,"beaufwind.csv"
"152","NE",12,"winter",2014,"beaufwind.csv"
"153","NW",4,"winter",2014,"beaufwind.csv"
"154","S",14,"winter",2014,"beaufwind.csv"
"155","SE",12,"winter",2014,"beaufwind.csv"
"156","SW",21,"winter",2014,"beaufwind.csv"
"157","W",11,"winter",2014,"beaufwind.csv"
"158","E",8,"spring",2014,"beaufwind.csv"
"159","N",3,"spring",2014,"beaufwind.csv"
"160","NE",11,"spring",2014,"beaufwind.csv"
"161","S",19,"spring",2014,"beaufwind.csv"
"162","SE",12,"spring",2014,"beaufwind.csv"
"163","SW",34,"spring",2014,"beaufwind.csv"
"164","W",4,"spring",2014,"beaufwind.csv"
"165","E",13,"summer",2014,"beaufwind.csv"
"166","N",4,"summer",2014,"beaufwind.csv"
"167","NE",16,"summer",2014,"beaufwind.csv"
"168","S",14,"summer",2014,"beaufwind.csv"
"169","SE",14,"summer",2014,"beaufwind.csv"
"170","SW",27,"summer",2014,"beaufwind.csv"
"171","W",4,"summer",2014,"beaufwind.csv"
"172","E",9,"fall",2014,"beaufwind.csv"
"173","N",2,"fall",2014,"beaufwind.csv"
"174","NE",12,"fall",2014,"beaufwind.csv"
"175","NW",9,"fall",2014,"beaufwind.csv"
"176","S",16,"fall",2014,"beaufwind.csv"
"177","SE",9,"fall",2014,"beaufwind.csv"
"178","SW",18,"fall",2014,"beaufwind.csv"
"179","W",17,"fall",2014,"beaufwind.csv"
"180","E",13,"winter",2015,"beaufwind.csv"
"181","N",2,"winter",2015,"beaufwind.csv"
"182","NE",7,"winter",2015,"beaufwind.csv"
"183","NW",9,"winter",2015,"beaufwind.csv"
"184","S",17,"winter",2015,"beaufwind.csv"
"185","SE",11,"winter",2015,"beaufwind.csv"
"186","SW",21,"winter",2015,"beaufwind.csv"
"187","W",10,"winter",2015,"beaufwind.csv"
"188","E",13,"spring",2015,"beaufwind.csv"
"189","NE",7,"spring",2015,"beaufwind.csv"
"190","NW",1,"spring",2015,"beaufwind.csv"
"191","S",18,"spring",2015,"beaufwind.csv"
"192","SE",14,"spring",2015,"beaufwind.csv"
"193","SW",38,"spring",2015,"beaufwind.csv"
"194","E",15,"summer",2015,"beaufwind.csv"
"195","N",2,"summer",2015,"beaufwind.csv"
"196","NE",18,"summer",2015,"beaufwind.csv"
"197","S",10,"summer",2015,"beaufwind.csv"
"198","SE",11,"summer",2015,"beaufwind.csv"
"199","SW",33,"summer",2015,"beaufwind.csv"
"200","W",3,"summer",2015,"beaufwind.csv"
"201","E",11,"fall",2015,"beaufwind.csv"
"202","N",8,"fall",2015,"beaufwind.csv"
"203","NE",15,"fall",2015,"beaufwind.csv"
"204","NW",5,"fall",2015,"beaufwind.csv"
"205","S",20,"fall",2015,"beaufwind.csv"
"206","SE",14,"fall",2015,"beaufwind.csv"
"207","SW",16,"fall",2015,"beaufwind.csv"
"208","W",3,"fall",2015,"beaufwind.csv"
"209","E",16,"winter",2016,"beaufwind.csv"
"210","N",2,"winter",2016,"beaufwind.csv"
"211","NE",8,"winter",2016,"beaufwind.csv"
"212","NW",10,"winter",2016,"beaufwind.csv"
"213","S",14,"winter",2016,"beaufwind.csv"
"214","SE",10,"winter",2016,"beaufwind.csv"
"215","SW",20,"winter",2016,"beaufwind.csv"
"216","W",11,"winter",2016,"beaufwind.csv"
"217","E",7,"spring",2016,"beaufwind.csv"
"218","N",1,"spring",2016,"beaufwind.csv"
"219","NE",13,"spring",2016,"beaufwind.csv"
"220","NW",2,"spring",2016,"beaufwind.csv"
"221","S",9,"spring",2016,"beaufwind.csv"
"222","SE",16,"spring",2016,"beaufwind.csv"
"223","SW",34,"spring",2016,"beaufwind.csv"
"224","W",9,"spring",2016,"beaufwind.csv"
"225","E",12,"summer",2016,"beaufwind.csv"
"226","N",1,"summer",2016,"beaufwind.csv"
"227","NE",10,"summer",2016,"beaufwind.csv"
"228","NW",2,"summer",2016,"beaufwind.csv"
"229","S",10,"summer",2016,"beaufwind.csv"
"230","SE",11,"summer",2016,"beaufwind.csv"
"231","SW",40,"summer",2016,"beaufwind.csv"
"232","W",6,"summer",2016,"beaufwind.csv"
"233","E",8,"fall",2016,"beaufwind.csv"
"234","N",4,"fall",2016,"beaufwind.csv"
"235","NE",14,"fall",2016,"beaufwind.csv"
"236","NW",9,"fall",2016,"beaufwind.csv"
"237","S",14,"fall",2016,"beaufwind.csv"
"238","SE",14,"fall",2016,"beaufwind.csv"
"239","SW",17,"fall",2016,"beaufwind.csv"
"240","W",12,"fall",2016,"beaufwind.csv"
"241","E",10,"winter",2017,"beaufwind.csv"
"242","NE",9,"winter",2017,"beaufwind.csv"
"243","NW",6,"winter",2017,"beaufwind.csv"
"244","S",16,"winter",2017,"beaufwind.csv"
"245","SE",12,"winter",2017,"beaufwind.csv"
"246","SW",21,"winter",2017,"beaufwind.csv"
"247","W",16,"winter",2017,"beaufwind.csv"
"248","E",6,"spring",2017,"beaufwind.csv"
"249","NE",6,"spring",2017,"beaufwind.csv"
"250","S",17,"spring",2017,"beaufwind.csv"
"251","SE",6,"spring",2017,"beaufwind.csv"
"252","SW",50,"spring",2017,"beaufwind.csv"
"253","W",6,"spring",2017,"beaufwind.csv"
"254","E",6,"summer",2017,"beaufwind.csv"
"255","N",1,"summer",2017,"beaufwind.csv"
"256","NE",17,"summer",2017,"beaufwind.csv"
"257","NW",2,"summer",2017,"beaufwind.csv"
"258","S",14,"summer",2017,"beaufwind.csv"
"259","SE",8,"summer",2017,"beaufwind.csv"
"260","SW",40,"summer",2017,"beaufwind.csv"
"261","W",4,"summer",2017,"beaufwind.csv"
"262","E",9,"fall",2017,"beaufwind.csv"
"263","N",6,"fall",2017,"beaufwind.csv"
"264","NE",19,"fall",2017,"beaufwind.csv"
"265","NW",6,"fall",2017,"beaufwind.csv"
"266","S",12,"fall",2017,"beaufwind.csv"
"267","SE",17,"fall",2017,"beaufwind.csv"
"268","SW",13,"fall",2017,"beaufwind.csv"
"269","W",10,"fall",2017,"beaufwind.csv"
"270","E",6,"winter",2018,"beaufwind.csv"
"271","N",3,"winter",2018,"beaufwind.csv"
"272","NE",15,"winter",2018,"beaufwind.csv"
"273","NW",10,"winter",2018,"beaufwind.csv"
"274","S",18,"winter",2018,"beaufwind.csv"
"275","SE",13,"winter",2018,"beaufwind.csv"
"276","SW",14,"winter",2018,"beaufwind.csv"
"277","W",11,"winter",2018,"beaufwind.csv"
"278","E",7,"spring",2018,"beaufwind.csv"
"279","N",1,"spring",2018,"beaufwind.csv"
"280","NE",4,"spring",2018,"beaufwind.csv"
"281","NW",3,"spring",2018,"beaufwind.csv"
"282","S",31,"spring",2018,"beaufwind.csv"
"283","SE",10,"spring",2018,"beaufwind.csv"
"284","SW",34,"spring",2018,"beaufwind.csv"
"285","W",1,"spring",2018,"beaufwind.csv"
"286","E",11,"summer",2018,"beaufwind.csv"
"287","NE",15,"summer",2018,"beaufwind.csv"
"288","S",16,"summer",2018,"beaufwind.csv"
"289","SE",14,"summer",2018,"beaufwind.csv"
"290","SW",33,"summer",2018,"beaufwind.csv"
"291","W",3,"summer",2018,"beaufwind.csv"
"292","E",13,"fall",2018,"beaufwind.csv"
"293","N",3,"fall",2018,"beaufwind.csv"
"294","NE",10,"fall",2018,"beaufwind.csv"
"295","NW",7,"fall",2018,"beaufwind.csv"
"296","S",14,"fall",2018,"beaufwind.csv"
"297","SE",15,"fall",2018,"beaufwind.csv"
"298","SW",20,"fall",2018,"beaufwind.csv"
"299","W",10,"fall",2018,"beaufwind.csv"
"300","E",14,"winter",2019,"beaufwind.csv"
"301","N",1,"winter",2019,"beaufwind.csv"
"302","NE",16,"winter",2019,"beaufwind.csv"
"303","NW",7,"winter",2019,"beaufwind.csv"
"304","S",15,"winter",2019,"beaufwind.csv"
"305","SE",9,"winter",2019,"beaufwind.csv"
"306","SW",15,"winter",2019,"beaufwind.csv"
"307","W",13,"winter",2019,"beaufwind.csv"
"308","E",7,"spring",2019,"beaufwind.csv"
"309","NE",3,"spring",2019,"beaufwind.csv"
"310","NW",2,"spring",2019,"beaufwind.csv"
"311","S",15,"spring",2019,"beaufwind.csv"
"312","SE",12,"spring",2019,"beaufwind.csv"
"313","SW",37,"spring",2019,"beaufwind.csv"
"314","W",8,"spring",2019,"beaufwind.csv"
"315","E",13,"summer",2019,"beaufwind.csv"
"316","N",2,"summer",2019,"beaufwind.csv"
"317","NE",13,"summer",2019,"beaufwind.csv"
"318","NW",1,"summer",2019,"beaufwind.csv"
"319","S",15,"summer",2019,"beaufwind.csv"
"320","SE",12,"summer",2019,"beaufwind.csv"
"321","SW",34,"summer",2019,"beaufwind.csv"
"322","W",2,"summer",2019,"beaufwind.csv"
"323","E",18,"fall",2019,"beaufwind.csv"
"324","N",5,"fall",2019,"beaufwind.csv"
"325","NE",14,"fall",2019,"beaufwind.csv"
"326","NW",4,"fall",2019,"beaufwind.csv"
"327","S",13,"fall",2019,"beaufwind.csv"
"328","SE",10,"fall",2019,"beaufwind.csv"
"329","SW",20,"fall",2019,"beaufwind.csv"
"330","W",8,"fall",2019,"beaufwind.csv"
"331","E",11,"winter",2020,"beaufwind.csv"
"332","N",9,"winter",2020,"beaufwind.csv"
"333","NE",4,"winter",2020,"beaufwind.csv"
"334","NW",6,"winter",2020,"beaufwind.csv"
"335","S",12,"winter",2020,"beaufwind.csv"
"336","SE",11,"winter",2020,"beaufwind.csv"
"337","SW",26,"winter",2020,"beaufwind.csv"
"338","W",12,"winter",2020,"beaufwind.csv"
"339","E",7,"spring",2020,"beaufwind.csv"
"340","NE",11,"spring",2020,"beaufwind.csv"
"341","NW",4,"spring",2020,"beaufwind.csv"
"342","S",19,"spring",2020,"beaufwind.csv"
"343","SE",10,"spring",2020,"beaufwind.csv"
"344","SW",29,"spring",2020,"beaufwind.csv"
"345","W",11,"spring",2020,"beaufwind.csv"
"346","E",10,"summer",2020,"beaufwind.csv"
"347","N",1,"summer",2020,"beaufwind.csv"
"348","NE",8,"summer",2020,"beaufwind.csv"
"349","NW",1,"summer",2020,"beaufwind.csv"
"350","S",15,"summer",2020,"beaufwind.csv"
"351","SE",14,"summer",2020,"beaufwind.csv"
"352","SW",36,"summer",2020,"beaufwind.csv"
"353","W",7,"summer",2020,"beaufwind.csv"
"354","E",13,"fall",2020,"beaufwind.csv"
"355","N",1,"fall",2020,"beaufwind.csv"
"356","NE",20,"fall",2020,"beaufwind.csv"
"357","NW",9,"fall",2020,"beaufwind.csv"
"358","S",12,"fall",2020,"beaufwind.csv"
"359","SE",16,"fall",2020,"beaufwind.csv"
"360","SW",14,"fall",2020,"beaufwind.csv"
"361","W",7,"fall",2020,"beaufwind.csv"
"362","E",11,"winter",2021,"beaufwind.csv"
"363","N",4,"winter",2021,"beaufwind.csv"
"364","NE",13,"winter",2021,"beaufwind.csv"
"365","NW",5,"winter",2021,"beaufwind.csv"
"366","S",12,"winter",2021,"beaufwind.csv"
"367","SE",15,"winter",2021,"beaufwind.csv"
"368","SW",18,"winter",2021,"beaufwind.csv"
"369","W",12,"winter",2021,"beaufwind.csv"
"370","E",6,"spring",2021,"beaufwind.csv"
"371","NE",9,"spring",2021,"beaufwind.csv"
"372","S",14,"spring",2021,"beaufwind.csv"
"373","SE",18,"spring",2021,"beaufwind.csv"
"374","SW",33,"spring",2021,"beaufwind.csv"
"375","W",11,"spring",2021,"beaufwind.csv"
"376","E",4,"summer",2021,"beaufwind.csv"
"377","NE",7,"summer",2021,"beaufwind.csv"
"378","S",25,"summer",2021,"beaufwind.csv"
"379","SE",12,"summer",2021,"beaufwind.csv"
"380","SW",37,"summer",2021,"beaufwind.csv"
"381","W",7,"summer",2021,"beaufwind.csv"
"382","E",8,"fall",2021,"beaufwind.csv"
"383","N",4,"fall",2021,"beaufwind.csv"
"384","NE",8,"fall",2021,"beaufwind.csv"
"385","NW",9,"fall",2021,"beaufwind.csv"
"386","S",10,"fall",2021,"beaufwind.csv"
"387","SE",13,"fall",2021,"beaufwind.csv"
"388","SW",23,"fall",2021,"beaufwind.csv"
"389","W",14,"fall",2021,"beaufwind.csv"
"390","E",11,"winter",2022,"beaufwind.csv"
"391","N",2,"winter",2022,"beaufwind.csv"
"392","NE",9,"winter",2022,"beaufwind.csv"
"393","NW",6,"winter",2022,"beaufwind.csv"
"394","S",19,"winter",2022,"beaufwind.csv"
"395","SE",12,"winter",2022,"beaufwind.csv"
"396","SW",22,"winter",2022,"beaufwind.csv"
"397","W",9,"winter",2022,"beaufwind.csv"
"398","E",13,"spring",2022,"beaufwind.csv"
"399","NE",9,"spring",2022,"beaufwind.csv"
"400","NW",3,"spring",2022,"beaufwind.csv"
"401","S",16,"spring",2022,"beaufwind.csv"
"402","SE",14,"spring",2022,"beaufwind.csv"
"403","SW",32,"spring",2022,"beaufwind.csv"
"404","W",4,"spring",2022,"beaufwind.csv"
"405","E",14,"summer",2022,"beaufwind.csv"
"406","NE",10,"summer",2022,"beaufwind.csv"
"407","NW",1,"summer",2022,"beaufwind.csv"
"408","S",17,"summer",2022,"beaufwind.csv"
"409","SE",6,"summer",2022,"beaufwind.csv"
"410","SW",42,"summer",2022,"beaufwind.csv"
"411","W",2,"summer",2022,"beaufwind.csv"
"412","E",11,"fall",2022,"beaufwind.csv"
"413","N",6,"fall",2022,"beaufwind.csv"
"414","NE",20,"fall",2022,"beaufwind.csv"
"415","NW",9,"fall",2022,"beaufwind.csv"
"416","S",13,"fall",2022,"beaufwind.csv"
"417","SE",8,"fall",2022,"beaufwind.csv"
"418","SW",16,"fall",2022,"beaufwind.csv"
"419","W",9,"fall",2022,"beaufwind.csv"
"420","E",11,"winter",2023,"beaufwind.csv"
"421","NE",4,"winter",2023,"beaufwind.csv"
"422","NW",8,"winter",2023,"beaufwind.csv"
"423","S",14,"winter",2023,"beaufwind.csv"
"424","SE",12,"winter",2023,"beaufwind.csv"
"425","SW",26,"winter",2023,"beaufwind.csv"
"426","W",15,"winter",2023,"beaufwind.csv"
"427","E",2,"spring",2023,"beaufwind.csv"
"428","N",2,"spring",2023,"beaufwind.csv"
"429","NE",18,"spring",2023,"beaufwind.csv"
"430","NW",1,"spring",2023,"beaufwind.csv"
"431","S",19,"spring",2023,"beaufwind.csv"
"432","SE",15,"spring",2023,"beaufwind.csv"
"433","SW",25,"spring",2023,"beaufwind.csv"
"434","W",4,"spring",2023,"beaufwind.csv"
"435","E",6,"summer",2023,"beaufwind.csv"
"436","NE",3,"summer",2023,"beaufwind.csv"
"437","S",5,"summer",2023,"beaufwind.csv"
"438","SE",7,"summer",2023,"beaufwind.csv"
"439","SW",30,"summer",2023,"beaufwind.csv"
"440","W",10,"summer",2023,"beaufwind.csv"
"441","E",7,"fall",1995,"duckwind.csv"
"442","NE",3,"fall",1995,"duckwind.csv"
"443","NW",12,"fall",1995,"duckwind.csv"
"444","S",20,"fall",1995,"duckwind.csv"
"445","SE",12,"fall",1995,"duckwind.csv"
"446","SW",17,"fall",1995,"duckwind.csv"
"447","W",10,"fall",1995,"duckwind.csv"
"448","E",11,"winter",1996,"duckwind.csv"
"449","N",1,"winter",1996,"duckwind.csv"
"450","NE",11,"winter",1996,"duckwind.csv"
"451","NW",3,"winter",1996,"duckwind.csv"
"452","S",15,"winter",1996,"duckwind.csv"
"453","SE",18,"winter",1996,"duckwind.csv"
"454","SW",22,"winter",1996,"duckwind.csv"
"455","W",10,"winter",1996,"duckwind.csv"
"456","E",12,"spring",1996,"duckwind.csv"
"457","NE",7,"spring",1996,"duckwind.csv"
"458","NW",1,"spring",1996,"duckwind.csv"
"459","S",21,"spring",1996,"duckwind.csv"
"460","SE",15,"spring",1996,"duckwind.csv"
"461","SW",31,"spring",1996,"duckwind.csv"
"462","W",4,"spring",1996,"duckwind.csv"
"463","E",17,"summer",1996,"duckwind.csv"
"464","NE",6,"summer",1996,"duckwind.csv"
"465","NW",3,"summer",1996,"duckwind.csv"
"466","S",14,"summer",1996,"duckwind.csv"
"467","SE",22,"summer",1996,"duckwind.csv"
"468","SW",23,"summer",1996,"duckwind.csv"
"469","W",7,"summer",1996,"duckwind.csv"
"470","E",10,"fall",1996,"duckwind.csv"
"471","NE",7,"fall",1996,"duckwind.csv"
"472","NW",8,"fall",1996,"duckwind.csv"
"473","S",24,"fall",1996,"duckwind.csv"
"474","SE",12,"fall",1996,"duckwind.csv"
"475","SW",18,"fall",1996,"duckwind.csv"
"476","W",13,"fall",1996,"duckwind.csv"
"477","E",12,"winter",1997,"duckwind.csv"
"478","NE",11,"winter",1997,"duckwind.csv"
"479","NW",3,"winter",1997,"duckwind.csv"
"480","S",20,"winter",1997,"duckwind.csv"
"481","SE",15,"winter",1997,"duckwind.csv"
"482","SW",22,"winter",1997,"duckwind.csv"
"483","W",7,"winter",1997,"duckwind.csv"
"484","E",11,"spring",1997,"duckwind.csv"
"485","NE",16,"spring",1997,"duckwind.csv"
"486","NW",1,"spring",1997,"duckwind.csv"
"487","S",20,"spring",1997,"duckwind.csv"
"488","SE",11,"spring",1997,"duckwind.csv"
"489","SW",28,"spring",1997,"duckwind.csv"
"490","W",4,"spring",1997,"duckwind.csv"
"491","E",16,"summer",1997,"duckwind.csv"
"492","NE",9,"summer",1997,"duckwind.csv"
"493","S",19,"summer",1997,"duckwind.csv"
"494","SE",22,"summer",1997,"duckwind.csv"
"495","SW",22,"summer",1997,"duckwind.csv"
"496","W",4,"summer",1997,"duckwind.csv"
"497","E",11,"fall",1997,"duckwind.csv"
"498","NE",8,"fall",1997,"duckwind.csv"
"499","NW",12,"fall",1997,"duckwind.csv"
"500","S",16,"fall",1997,"duckwind.csv"
"501","SE",11,"fall",1997,"duckwind.csv"
"502","SW",18,"fall",1997,"duckwind.csv"
"503","W",16,"fall",1997,"duckwind.csv"
"504","E",17,"winter",1998,"duckwind.csv"
"505","N",2,"winter",1998,"duckwind.csv"
"506","NE",7,"winter",1998,"duckwind.csv"
"507","NW",4,"winter",1998,"duckwind.csv"
"508","S",20,"winter",1998,"duckwind.csv"
"509","SE",14,"winter",1998,"duckwind.csv"
"510","SW",14,"winter",1998,"duckwind.csv"
"511","W",12,"winter",1998,"duckwind.csv"
"512","E",19,"spring",1998,"duckwind.csv"
"513","N",3,"spring",1998,"duckwind.csv"
"514","NE",6,"spring",1998,"duckwind.csv"
"515","NW",1,"spring",1998,"duckwind.csv"
"516","S",17,"spring",1998,"duckwind.csv"
"517","SE",8,"spring",1998,"duckwind.csv"
"518","SW",30,"spring",1998,"duckwind.csv"
"519","W",7,"spring",1998,"duckwind.csv"
"520","E",16,"summer",1998,"duckwind.csv"
"521","NE",14,"summer",1998,"duckwind.csv"
"522","NW",1,"summer",1998,"duckwind.csv"
"523","S",17,"summer",1998,"duckwind.csv"
"524","SE",16,"summer",1998,"duckwind.csv"
"525","SW",25,"summer",1998,"duckwind.csv"
"526","W",3,"summer",1998,"duckwind.csv"
"527","E",10,"fall",1998,"duckwind.csv"
"528","NE",15,"fall",1998,"duckwind.csv"
"529","NW",4,"fall",1998,"duckwind.csv"
"530","S",22,"fall",1998,"duckwind.csv"
"531","SE",10,"fall",1998,"duckwind.csv"
"532","SW",19,"fall",1998,"duckwind.csv"
"533","W",12,"fall",1998,"duckwind.csv"
"534","E",13,"winter",1999,"duckwind.csv"
"535","N",1,"winter",1999,"duckwind.csv"
"536","NE",5,"winter",1999,"duckwind.csv"
"537","NW",3,"winter",1999,"duckwind.csv"
"538","S",22,"winter",1999,"duckwind.csv"
"539","SE",8,"winter",1999,"duckwind.csv"
"540","SW",24,"winter",1999,"duckwind.csv"
"541","W",14,"winter",1999,"duckwind.csv"
"542","E",14,"spring",1999,"duckwind.csv"
"543","N",1,"spring",1999,"duckwind.csv"
"544","NE",22,"spring",1999,"duckwind.csv"
"545","NW",1,"spring",1999,"duckwind.csv"
"546","S",13,"spring",1999,"duckwind.csv"
"547","SE",6,"spring",1999,"duckwind.csv"
"548","SW",30,"spring",1999,"duckwind.csv"
"549","W",4,"spring",1999,"duckwind.csv"
"550","E",13,"summer",1999,"duckwind.csv"
"551","N",37,"summer",1999,"duckwind.csv"
