Estimate Status,Year,Species_group,Sub_group,Released_alive_B2,PSE
FINAL,1981,TUNAS AND MACKERELS,SPANISH MACKEREL,2967,95.8
FINAL,1981,WRASSES,TAUTOG,14201,68.8
FINAL,1982,BLUEFISH,BLUEFISH,438075,26.5
FINAL,1982,CARTILAGINOUS FISHES,DOGFISH SHARKS,51953,46.5
FINAL,1982,CARTILAGINOUS FISHES,OTHER SHARKS,18824,65.9
FINAL,1982,CARTILAGINOUS FISHES,SKATES/RAYS,65023,32.3
FINAL,1982,CODS AND HAKES,OTHER CODS/HAKES,27838,66
FINAL,1982,DRUMS,ATLANTIC CROAKER,1138384,47.5
FINAL,1982,DRUMS,KINGFISHES,205229,68.1
FINAL,1982,DRUMS,SILVER PERCH,9143,96.4
FINAL,1982,DRUMS,SPOT,1762765,39.7
FINAL,1982,DRUMS,WEAKFISH,61048,83.4
FINAL,1982,FLOUNDERS,OTHER FLOUNDERS,50466,46.6
FINAL,1982,FLOUNDERS,SUMMER FLOUNDER,1245908,31
FINAL,1982,GRUNTS,PIGFISH,314248,41.2
FINAL,1982,HERRINGS,HERRINGS,193628,110.8
FINAL,1982,JACKS,FLORIDA POMPANO,25630,97.2
FINAL,1982,JACKS,OTHER JACKS,4571,96.4
FINAL,1982,OTHER FISHES,OTHER FISHES,665285,29.8
FINAL,1982,PORGIES,PINFISHES,845785,65.8
FINAL,1982,PORGIES,RED PORGY,7143,80.9
FINAL,1982,PUFFERS,PUFFERS,110183,32.2
FINAL,1982,SEA BASSES,BLACK SEA BASS,86527,33.6
FINAL,1982,SEA BASSES,MYCTEROPERCA GROUPERS,2583,98.1
FINAL,1982,SEA BASSES,OTHER SEA BASSES,9143,96.4
FINAL,1982,SEAROBINS,SEAROBINS,129051,25.8
FINAL,1982,TEMPERATE BASSES,WHITE PERCH,13714,96.4
FINAL,1982,TOADFISHES,TOADFISHES,171163,71
FINAL,1982,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,4838,95.3
FINAL,1982,WRASSES,OTHER WRASSES,185415,86.5
FINAL,1983,BLUEFISH,BLUEFISH,1609202,33.3
FINAL,1983,CARTILAGINOUS FISHES,DOGFISH SHARKS,76028,52.4
FINAL,1983,CARTILAGINOUS FISHES,OTHER SHARKS,300437,77.3
FINAL,1983,CARTILAGINOUS FISHES,SKATES/RAYS,237838,32.8
FINAL,1983,CATFISHES,SALTWATER CATFISHES,3817,99.2
FINAL,1983,DRUMS,ATLANTIC CROAKER,999169,36.4
FINAL,1983,DRUMS,KINGFISHES,77499,47.7
FINAL,1983,DRUMS,RED DRUM,1153,97.1
FINAL,1983,DRUMS,SILVER PERCH,4883,100.5
FINAL,1983,DRUMS,SPOT,1754638,37.7
FINAL,1983,DRUMS,SPOTTED SEATROUT,26685,58.7
FINAL,1983,DRUMS,WEAKFISH,16387,65.9
FINAL,1983,EELS,EELS,7841,100.8
FINAL,1983,FLOUNDERS,OTHER FLOUNDERS,36174,57.7
FINAL,1983,FLOUNDERS,SUMMER FLOUNDER,645092,25.9
FINAL,1983,GRUNTS,PIGFISH,626674,42.3
FINAL,1983,JACKS,FLORIDA POMPANO,10145,84.5
FINAL,1983,OTHER FISHES,OTHER FISHES,455148,50.6
FINAL,1983,PORGIES,PINFISHES,208494,43.6
FINAL,1983,PUFFERS,PUFFERS,96363,60.1
FINAL,1983,SEA BASSES,BLACK SEA BASS,832577,69.4
FINAL,1983,SEA BASSES,OTHER SEA BASSES,3042,75.5
FINAL,1983,SEAROBINS,SEAROBINS,25681,41.8
FINAL,1983,TEMPERATE BASSES,WHITE PERCH,147634,24.5
FINAL,1983,WRASSES,OTHER WRASSES,46002,89.1
FINAL,1984,BLUEFISH,BLUEFISH,522965,33
FINAL,1984,CARTILAGINOUS FISHES,DOGFISH SHARKS,395503,56.2
FINAL,1984,CARTILAGINOUS FISHES,OTHER SHARKS,176481,75.9
FINAL,1984,CARTILAGINOUS FISHES,SKATES/RAYS,750575,58
FINAL,1984,DRUMS,ATLANTIC CROAKER,2503282,21.5
FINAL,1984,DRUMS,KINGFISHES,90015,43.3
FINAL,1984,DRUMS,RED DRUM,7719,99.2
FINAL,1984,DRUMS,SPOT,2902722,19.5
FINAL,1984,DRUMS,SPOTTED SEATROUT,42465,74.5
FINAL,1984,DRUMS,WEAKFISH,35101,38
FINAL,1984,EELS,EELS,7707,69.8
FINAL,1984,FLOUNDERS,OTHER FLOUNDERS,27022,88
FINAL,1984,FLOUNDERS,SUMMER FLOUNDER,742227,26.3
FINAL,1984,GRUNTS,OTHER GRUNTS,3279,75.7
FINAL,1984,GRUNTS,PIGFISH,316711,32.5
FINAL,1984,HERRINGS,HERRINGS,3778,100.6
FINAL,1984,JACKS,CREVALLE JACK,8243,60.5
FINAL,1984,JACKS,FLORIDA POMPANO,97704,60.6
FINAL,1984,JACKS,OTHER JACKS,157550,97.2
FINAL,1984,MULLETS,MULLETS,863503,53
FINAL,1984,OTHER FISHES,OTHER FISHES,32617,47.6
FINAL,1984,PORGIES,PINFISHES,552524,43.3
FINAL,1984,PUFFERS,PUFFERS,62316,36.3
FINAL,1984,SEA BASSES,BLACK SEA BASS,324343,28.7
FINAL,1984,SEA BASSES,OTHER SEA BASSES,57319,40.2
FINAL,1984,SEAROBINS,SEAROBINS,5629,72.8
FINAL,1984,TEMPERATE BASSES,STRIPED BASS,5178,102.8
FINAL,1984,TOADFISHES,TOADFISHES,16654,29.8
FINAL,1984,TUNAS AND MACKERELS,SPANISH MACKEREL,4374,100.6
FINAL,1985,BLUEFISH,BLUEFISH,1281466,24.1
FINAL,1985,CARTILAGINOUS FISHES,DOGFISH SHARKS,100912,36.4
FINAL,1985,CARTILAGINOUS FISHES,OTHER SHARKS,118893,59.9
FINAL,1985,CARTILAGINOUS FISHES,SKATES/RAYS,169949,44
FINAL,1985,CATFISHES,SALTWATER CATFISHES,62957,104.5
FINAL,1985,DRUMS,ATLANTIC CROAKER,1881666,58.1
FINAL,1985,DRUMS,KINGFISHES,220662,31.7
FINAL,1985,DRUMS,SPOT,1456600,29.3
FINAL,1985,DRUMS,SPOTTED SEATROUT,7361,71.4
FINAL,1985,DRUMS,WEAKFISH,2638,99.7
FINAL,1985,EELS,EELS,14833,53
FINAL,1985,FLOUNDERS,OTHER FLOUNDERS,6058,78.8
FINAL,1985,FLOUNDERS,SUMMER FLOUNDER,476231,32.6
FINAL,1985,GRUNTS,PIGFISH,594358,42.9
FINAL,1985,HERRINGS,HERRINGS,659993,66.9
FINAL,1985,JACKS,CREVALLE JACK,30891,83.3
FINAL,1985,JACKS,FLORIDA POMPANO,299428,53.2
FINAL,1985,JACKS,GREATER AMBERJACK,7824,98.7
FINAL,1985,MULLETS,MULLETS,334105,46.3
FINAL,1985,OTHER FISHES,OTHER FISHES,1032041,80.8
FINAL,1985,PORGIES,PINFISHES,2932965,25
FINAL,1985,PUFFERS,PUFFERS,181007,45.8
FINAL,1985,SEA BASSES,BLACK SEA BASS,789636,35.1
FINAL,1985,SEA BASSES,MYCTEROPERCA GROUPERS,15431,100.8
FINAL,1985,SEA BASSES,OTHER SEA BASSES,21512,53.2
FINAL,1985,SEAROBINS,SEAROBINS,30765,34.7
FINAL,1985,SNAPPERS,GRAY SNAPPER,3571,95.6
FINAL,1985,SNAPPERS,RED SNAPPER,8929,95.6
FINAL,1985,TEMPERATE BASSES,WHITE PERCH,29367,102.1
FINAL,1985,TOADFISHES,TOADFISHES,55270,53
FINAL,1985,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,84,99.2
FINAL,1985,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,2533,111.5
FINAL,1985,TUNAS AND MACKERELS,SPANISH MACKEREL,36482,95.4
FINAL,1985,WRASSES,OTHER WRASSES,45807,105.4
FINAL,1986,BARRACUDAS,BARRACUDAS,115,104
FINAL,1986,BLUEFISH,BLUEFISH,1233792,31.6
FINAL,1986,CARTILAGINOUS FISHES,DOGFISH SHARKS,338364,69.4
FINAL,1986,CARTILAGINOUS FISHES,OTHER SHARKS,67203,62.7
FINAL,1986,CARTILAGINOUS FISHES,SKATES/RAYS,529530,44.2
FINAL,1986,CATFISHES,FRESHWATER CATFISHES,55209,56.3
FINAL,1986,DOLPHINS,DOLPHINS,589,108.7
FINAL,1986,DRUMS,ATLANTIC CROAKER,578593,36
FINAL,1986,DRUMS,BLACK DRUM,6793,100.6
FINAL,1986,DRUMS,KINGFISHES,1322287,44.7
FINAL,1986,DRUMS,OTHER DRUM,15369,90.2
FINAL,1986,DRUMS,SPOT,1968905,36.8
FINAL,1986,DRUMS,SPOTTED SEATROUT,63506,90.8
FINAL,1986,DRUMS,WEAKFISH,694759,87.5
FINAL,1986,FLOUNDERS,SOUTHERN FLOUNDER,6984,92.5
FINAL,1986,FLOUNDERS,SUMMER FLOUNDER,712198,22.1
FINAL,1986,GRUNTS,PIGFISH,361666,45.7
FINAL,1986,HERRINGS,HERRINGS,39233,95.7
FINAL,1986,JACKS,BLUE RUNNER,58,102.9
FINAL,1986,JACKS,CREVALLE JACK,69907,49.7
FINAL,1986,JACKS,FLORIDA POMPANO,945462,27.2
FINAL,1986,JACKS,GREATER AMBERJACK,3331,69.9
FINAL,1986,JACKS,OTHER JACKS,276729,48.9
FINAL,1986,MULLETS,MULLETS,173282,90.2
FINAL,1986,OTHER FISHES,OTHER FISHES,128210,34.8
FINAL,1986,PORGIES,PINFISHES,1521360,27.5
FINAL,1986,PORGIES,RED PORGY,547,99.4
FINAL,1986,PORGIES,SHEEPSHEAD,8283,100.2
FINAL,1986,PUFFERS,PUFFERS,877411,36.1
FINAL,1986,SEA BASSES,BLACK SEA BASS,372066,43.6
FINAL,1986,SEA BASSES,MYCTEROPERCA GROUPERS,1302,96.8
FINAL,1986,SEA BASSES,OTHER SEA BASSES,98732,75
FINAL,1986,SEAROBINS,SEAROBINS,119270,43.1
FINAL,1986,TEMPERATE BASSES,STRIPED BASS,21085,97.4
FINAL,1986,TEMPERATE BASSES,WHITE PERCH,69027,101.3
FINAL,1986,TOADFISHES,TOADFISHES,199908,44.5
FINAL,1986,TUNAS AND MACKERELS,KING MACKEREL,102,103.8
FINAL,1986,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,3857,49.3
FINAL,1986,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,368,99.3
FINAL,1986,TUNAS AND MACKERELS,SPANISH MACKEREL,442501,85.7
FINAL,1986,WRASSES,OTHER WRASSES,49265,76.7
FINAL,1986,WRASSES,TAUTOG,2811,102.4
FINAL,1987,BARRACUDAS,BARRACUDAS,631,65.1
FINAL,1987,BLUEFISH,BLUEFISH,1402327,22.9
FINAL,1987,CARTILAGINOUS FISHES,DOGFISH SHARKS,244347,36.7
FINAL,1987,CARTILAGINOUS FISHES,OTHER SHARKS,262733,27.6
FINAL,1987,CARTILAGINOUS FISHES,SKATES/RAYS,173445,37.6
FINAL,1987,CATFISHES,FRESHWATER CATFISHES,2578,73.8
FINAL,1987,CATFISHES,SALTWATER CATFISHES,21715,51.2
FINAL,1987,DOLPHINS,DOLPHINS,79,73.7
FINAL,1987,DRUMS,ATLANTIC CROAKER,885377,27.9
FINAL,1987,DRUMS,BLACK DRUM,1528,78.4
FINAL,1987,DRUMS,KINGFISHES,260871,47.4
FINAL,1987,DRUMS,RED DRUM,50274,38.7
FINAL,1987,DRUMS,SILVER PERCH,292245,77.2
FINAL,1987,DRUMS,SPOT,1549262,33.1
FINAL,1987,DRUMS,SPOTTED SEATROUT,573181,39.4
FINAL,1987,DRUMS,WEAKFISH,250581,55.2
FINAL,1987,EELS,EELS,11357,79.8
FINAL,1987,FLOUNDERS,OTHER FLOUNDERS,46814,42.4
FINAL,1987,FLOUNDERS,SOUTHERN FLOUNDER,538724,75
FINAL,1987,FLOUNDERS,SUMMER FLOUNDER,671588,38.3
FINAL,1987,GRUNTS,OTHER GRUNTS,1066,100
FINAL,1987,GRUNTS,PIGFISH,1315829,33.1
FINAL,1987,HERRINGS,HERRINGS,12773,94.2
FINAL,1987,JACKS,CREVALLE JACK,4974,43
FINAL,1987,JACKS,FLORIDA POMPANO,37598,69.5
FINAL,1987,JACKS,GREATER AMBERJACK,1919,48.5
FINAL,1987,JACKS,OTHER JACKS,58056,93.2
FINAL,1987,MULLETS,MULLETS,17117,76.4
FINAL,1987,OTHER FISHES,OTHER FISHES,470503,37.7
FINAL,1987,PORGIES,PINFISHES,2464127,22.9
FINAL,1987,PORGIES,RED PORGY,12243,102
FINAL,1987,PORGIES,SHEEPSHEAD,70117,89
FINAL,1987,PUFFERS,PUFFERS,355598,69.2
FINAL,1987,SEA BASSES,BLACK SEA BASS,437513,26.8
FINAL,1987,SEA BASSES,OTHER SEA BASSES,21562,60.1
FINAL,1987,SEAROBINS,SEAROBINS,11949,38.6
FINAL,1987,TEMPERATE BASSES,WHITE PERCH,11536,68.8
FINAL,1987,TOADFISHES,TOADFISHES,93391,38.2
FINAL,1987,TUNAS AND MACKERELS,KING MACKEREL,13526,80.6
FINAL,1987,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,8162,43.6
FINAL,1987,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,4348,64.3
FINAL,1987,TUNAS AND MACKERELS,SPANISH MACKEREL,35412,39.9
FINAL,1987,WRASSES,TAUTOG,2725,94.7
FINAL,1988,BARRACUDAS,BARRACUDAS,14316,75.5
FINAL,1988,BLUEFISH,BLUEFISH,1002321,22.3
FINAL,1988,CARTILAGINOUS FISHES,DOGFISH SHARKS,254187,34.2
FINAL,1988,CARTILAGINOUS FISHES,OTHER SHARKS,508464,45.2
FINAL,1988,CARTILAGINOUS FISHES,SKATES/RAYS,447834,28.7
FINAL,1988,CATFISHES,SALTWATER CATFISHES,488,98
FINAL,1988,CODS AND HAKES,OTHER CODS/HAKES,150920,54.7
FINAL,1988,DOLPHINS,DOLPHINS,31262,102.1
FINAL,1988,DRUMS,ATLANTIC CROAKER,1673140,18
FINAL,1988,DRUMS,BLACK DRUM,5520,102.3
FINAL,1988,DRUMS,KINGFISHES,437608,29.7
FINAL,1988,DRUMS,RED DRUM,98940,65.4
FINAL,1988,DRUMS,SILVER PERCH,13867,46.2
FINAL,1988,DRUMS,SPOT,5019090,26.7
FINAL,1988,DRUMS,SPOTTED SEATROUT,196066,38.5
FINAL,1988,DRUMS,WEAKFISH,175284,63.3
FINAL,1988,EELS,EELS,4714,79.6
FINAL,1988,FLOUNDERS,OTHER FLOUNDERS,261634,38
FINAL,1988,FLOUNDERS,SOUTHERN FLOUNDER,4214,65
FINAL,1988,FLOUNDERS,SUMMER FLOUNDER,1879166,22.7
FINAL,1988,GRUNTS,PIGFISH,1314408,20.6
FINAL,1988,GRUNTS,WHITE GRUNT,2964,80.8
FINAL,1988,HERRINGS,HERRINGS,6256,85.7
FINAL,1988,JACKS,CREVALLE JACK,5554,44.5
FINAL,1988,JACKS,FLORIDA POMPANO,39103,59.3
FINAL,1988,JACKS,GREATER AMBERJACK,1920,54.2
FINAL,1988,JACKS,OTHER JACKS,7073,88.8
FINAL,1988,MULLETS,MULLETS,31653,61.8
FINAL,1988,OTHER FISHES,OTHER FISHES,861672,22.3
FINAL,1988,PORGIES,PINFISHES,2175703,17.8
FINAL,1988,PORGIES,SHEEPSHEAD,7766,84.2
FINAL,1988,PUFFERS,PUFFERS,904064,43.1
FINAL,1988,SEA BASSES,BLACK SEA BASS,810675,29.5
FINAL,1988,SEA BASSES,OTHER SEA BASSES,23208,69.5
FINAL,1988,SEAROBINS,SEAROBINS,170767,26
FINAL,1988,TEMPERATE BASSES,STRIPED BASS,21017,99.3
FINAL,1988,TEMPERATE BASSES,WHITE PERCH,2302,98.9
FINAL,1988,TOADFISHES,TOADFISHES,287606,32.1
FINAL,1988,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,2171,97
FINAL,1988,TUNAS AND MACKERELS,KING MACKEREL,8186,50.4
FINAL,1988,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,15332,39.8
FINAL,1988,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,33664,97.6
FINAL,1988,TUNAS AND MACKERELS,SPANISH MACKEREL,15891,33.9
FINAL,1989,BARRACUDAS,BARRACUDAS,5073,46
FINAL,1989,BLUEFISH,BLUEFISH,2314161,22.4
FINAL,1989,CARTILAGINOUS FISHES,DOGFISH SHARKS,284839,36.3
FINAL,1989,CARTILAGINOUS FISHES,OTHER SHARKS,172239,30.1
FINAL,1989,CARTILAGINOUS FISHES,SKATES/RAYS,127316,33.7
FINAL,1989,CATFISHES,FRESHWATER CATFISHES,10296,79.2
FINAL,1989,CATFISHES,SALTWATER CATFISHES,1195,98.8
FINAL,1989,CODS AND HAKES,OTHER CODS/HAKES,19834,98
FINAL,1989,DOLPHINS,DOLPHINS,1696,67.2
FINAL,1989,DRUMS,ATLANTIC CROAKER,2289602,16.3
FINAL,1989,DRUMS,BLACK DRUM,398,100.5
FINAL,1989,DRUMS,KINGFISHES,232077,26.5
FINAL,1989,DRUMS,RED DRUM,15246,40.9
FINAL,1989,DRUMS,SILVER PERCH,64075,56.1
FINAL,1989,DRUMS,SPOT,1995653,23.5
FINAL,1989,DRUMS,SPOTTED SEATROUT,369017,36.7
FINAL,1989,DRUMS,WEAKFISH,65500,30.7
FINAL,1989,EELS,EELS,30840,50.1
FINAL,1989,FLOUNDERS,OTHER FLOUNDERS,114361,39
FINAL,1989,FLOUNDERS,SOUTHERN FLOUNDER,12309,76.1
FINAL,1989,FLOUNDERS,SUMMER FLOUNDER,547505,24.4
FINAL,1989,GRUNTS,PIGFISH,868646,23.6
FINAL,1989,GRUNTS,WHITE GRUNT,7433,71
FINAL,1989,HERRINGS,HERRINGS,5225,53.8
FINAL,1989,JACKS,CREVALLE JACK,56172,90.1
FINAL,1989,JACKS,FLORIDA POMPANO,108002,44.3
FINAL,1989,JACKS,GREATER AMBERJACK,4073,41.3
FINAL,1989,JACKS,OTHER JACKS,693,83
FINAL,1989,MULLETS,MULLETS,5419,62
FINAL,1989,OTHER FISHES,OTHER FISHES,201414,22.3
FINAL,1989,PORGIES,OTHER PORGIES,3397,89.7
FINAL,1989,PORGIES,PINFISHES,3240878,21.4
FINAL,1989,PORGIES,SCUP,125,100
FINAL,1989,PORGIES,SHEEPSHEAD,17747,73.3
FINAL,1989,PUFFERS,PUFFERS,443437,18.5
FINAL,1989,SEA BASSES,BLACK SEA BASS,650051,34.2
FINAL,1989,SEA BASSES,EPINEPHELUS GROUPERS,110,99.9
FINAL,1989,SEA BASSES,MYCTEROPERCA GROUPERS,13268,97.4
FINAL,1989,SEA BASSES,OTHER SEA BASSES,2762,60.6
FINAL,1989,SEAROBINS,SEAROBINS,108675,32.7
FINAL,1989,SNAPPERS,OTHER SNAPPERS,221,99.9
FINAL,1989,SNAPPERS,VERMILION SNAPPER,1297,96.4
FINAL,1989,TOADFISHES,TOADFISHES,51258,39.3
FINAL,1989,TUNAS AND MACKERELS,KING MACKEREL,5225,59.6
FINAL,1989,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,32514,36.7
FINAL,1989,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,6911,42.7
FINAL,1989,TUNAS AND MACKERELS,SPANISH MACKEREL,140141,44.2
FINAL,1989,WRASSES,OTHER WRASSES,140,96.9
FINAL,1989,WRASSES,TAUTOG,12601,85.1
FINAL,1990,BARRACUDAS,BARRACUDAS,27606,90.4
FINAL,1990,BLUEFISH,BLUEFISH,2427701,23.7
FINAL,1990,CARTILAGINOUS FISHES,DOGFISH SHARKS,568100,26.6
FINAL,1990,CARTILAGINOUS FISHES,OTHER SHARKS,72217,29.1
FINAL,1990,CARTILAGINOUS FISHES,SKATES/RAYS,378604,27.7
FINAL,1990,CATFISHES,FRESHWATER CATFISHES,13344,76.6
FINAL,1990,CODS AND HAKES,OTHER CODS/HAKES,23517,61.1
FINAL,1990,DOLPHINS,DOLPHINS,1452,57.4
FINAL,1990,DRUMS,ATLANTIC CROAKER,3298860,24
FINAL,1990,DRUMS,BLACK DRUM,8694,99.7
FINAL,1990,DRUMS,KINGFISHES,794833,35.6
FINAL,1990,DRUMS,OTHER DRUM,8417,65.9
FINAL,1990,DRUMS,RED DRUM,46812,49
FINAL,1990,DRUMS,SILVER PERCH,138308,45.3
FINAL,1990,DRUMS,SPOT,2868842,30.1
FINAL,1990,DRUMS,SPOTTED SEATROUT,229894,27.1
FINAL,1990,DRUMS,WEAKFISH,28930,59.4
FINAL,1990,EELS,EELS,4801,62.9
FINAL,1990,FLOUNDERS,OTHER FLOUNDERS,99717,30.2
FINAL,1990,FLOUNDERS,SOUTHERN FLOUNDER,69716,41
FINAL,1990,FLOUNDERS,SUMMER FLOUNDER,2378477,28.5
FINAL,1990,GRUNTS,OTHER GRUNTS,1610,72.1
FINAL,1990,GRUNTS,PIGFISH,614860,22
FINAL,1990,HERRINGS,HERRINGS,32488,50.8
FINAL,1990,JACKS,BLUE RUNNER,27182,93.9
FINAL,1990,JACKS,CREVALLE JACK,19126,61.4
FINAL,1990,JACKS,FLORIDA POMPANO,340436,37.3
FINAL,1990,JACKS,GREATER AMBERJACK,6073,62.1
FINAL,1990,MULLETS,MULLETS,1014,100
FINAL,1990,OTHER FISHES,OTHER FISHES,225818,23.5
FINAL,1990,PORGIES,OTHER PORGIES,8576,68.9
FINAL,1990,PORGIES,PINFISHES,1768756,17.9
FINAL,1990,PORGIES,SHEEPSHEAD,18679,38.4
FINAL,1990,PUFFERS,PUFFERS,513985,24
FINAL,1990,SEA BASSES,BLACK SEA BASS,264212,17.7
FINAL,1990,SEA BASSES,MYCTEROPERCA GROUPERS,4522,99.5
FINAL,1990,SEA BASSES,OTHER SEA BASSES,915,66.5
FINAL,1990,SEAROBINS,SEAROBINS,177957,19.4
FINAL,1990,TEMPERATE BASSES,WHITE PERCH,603,98.3
FINAL,1990,TOADFISHES,TOADFISHES,122888,69.4
FINAL,1990,TRIGGERFISHES/FILEFISHES,TRIGGERFISHES/FILEFISHES,2579,71.2
FINAL,1990,TUNAS AND MACKERELS,KING MACKEREL,4295,71.1
FINAL,1990,TUNAS AND MACKERELS,LITTLE TUNNY/ATLANTIC BONITO,24132,44.7
FINAL,1990,TUNAS AND MACKERELS,OTHER TUNAS/MACKERELS,2414,34.8
FINAL,1990,TUNAS AND MACKERELS,SPANISH MACKEREL,111977,22.8
FINAL,1990,WRASSES,TAUTOG,10165,68.6
FINAL,1991,BARRACUDAS,BARRACUDAS,2688,59.8
FINAL,1991,BLUEFISH,BLUEFISH,1478829,19.5
FINAL,1991,CARTILAGINOUS FISHES,DOGFISH SHARKS,235289,27.6
FINAL,1991,CARTILAGINOUS FISHES,OTHER SHARKS,311441,23.4
FINAL,1991,CARTILAGINOUS FISHES,SKATES/RAYS,349339,24.3
FINAL,1991,CATFISHES,FRESHWATER CATFISHES,17837,48.7
FINAL,1991,CATFISHES,SALTWATER CATFISHES,15546,41.7
FINAL,1991,CODS AND HAKES,OTHER CODS/HAKES,39173,72.2
FINAL,1991,DOLPHINS,DOLPHINS,7025,33.2
FINAL,1991,DRUMS,ATLANTIC CROAKER,2031277,30.2
FINAL,1991,DRUMS,BLACK DRUM,4026,48.9
FINAL,1991,DRUMS,KINGFISHES,797605,17.7
FINAL,1991,DRUMS,OTHER DRUM,152985,61.3
FINAL,1991,DRUMS,RED DRUM,336524,21.6
FINAL,1991,DRUMS,SILVER PERCH,230575,36.2
FINAL,1991,DRUMS,SPOT,3454466,20.8
FINAL,1991,DRUMS,SPOTTED SEATROUT,576139,18.9
FINAL,1991,DRUMS,WEAKFISH,22332,38.2
FINAL,1991,EELS,EELS,2192,63.6
FINAL,1991,FLOUNDERS,GULF FLOUNDER,18994,47.8
FINAL,1991,FLOUNDERS,OTHER FLOUNDERS,310920,54.8
FINAL,1991,FLOUNDERS,SOUTHERN FLOUNDER,47934,27.8
FINAL,1991,FLOUNDERS,SUMMER FLOUNDER,1842477,12.2
FINAL,1991,GRUNTS,OTHER GRUNTS,35993,65.6
FINAL,1991,GRUNTS,PIGFISH,768548,20.8
FINAL,1991,GRUNTS,WHITE GRUNT,21148,43.5
FINAL,1991,HERRINGS,HERRINGS,85533,39.5
FINAL,1991,JACKS,BLUE RUNNER,2447,98.6
FINAL,1991,JACKS,CREVALLE JACK,5630,49.8
FINAL,1991,JACKS,FLORIDA POMPANO,254900,38
FINAL,1991,JACKS,GREATER AMBERJACK,161944,72.9
FINAL,1991,JACKS,OTHER JACKS,10026,57.2
FINAL,1991,MULLETS,MULLETS,4011,59.4
FINAL,1991,OTHER FISHES,OTHER FISHES,851879,17.1
FINAL,1991,PORGIES,OTHER PORGIES,53378,44.2
FINAL,1991,PORGIES,PINFISHES,5025907,16
FINAL,1991,PORGIES,RED PORGY,263,100.3
FINAL,1991,PORGIES,SCUP,2545,72.1
FINAL,1991,PORGIES,SHEEPSHEAD,34505,28.3
FINAL,1991,PUFFERS,PUFFERS,450117,15.8
FINAL,1991,SEA BASSES,BLACK SEA BASS,980846,36.6
FINAL,1991,SEA BASSES,EPINEPHELUS GROUPERS,13609,78.2
FINAL,1991,SEA BASSES,MYCTEROPERCA GROUPERS,4242,52.7
FINAL,1991,SEAROBINS,SEAROBINS,440392,25.8
FINAL,1991,SNAPPERS,OTHER SNAPPERS,2042,97.6
FINAL,1991,SNAPPERS,VERMILION SNAPPER,1477,89.7
