Year,Type of License,Resident of NC ,Nonresident ,Military stationed in NC,Student at NC school ,Year Total
2011,Annual Unified Inland Fishing/CRFL,25054,109,720,33,25916
2011,Annual Unified Sportsman with CRFL,39880,129,736,8,40753
2011,Lifetime CRFL - Adult NC Resident,188,1,,,189
2011,Lifetime CRFL - Adult Nonresident,,12,,,12
2011,Lifetime CRFL - Age 65,6129,4,4,1,6138
2011,Lifetime CRFL - Disabled Veteran,577,2,5,,584
2011,Lifetime CRFL - Infant,68,5,,,73
2011,Lifetime CRFL - Totally Disabled,676,,,,676
2011,Lifetime CRFL - Youth,40,3,,,43
2011,Lifetime Comprehensive Inland Fishing with CRFL - Over 70,1,,,,1
2011,Lifetime Unified Inland Fishing/CRFL,216,,1,,217
2011,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,384,,,,384
2011,Lifetime Unified Inland Fishing/CRFL - Blind,138,,,,138
2011,Lifetime Unified Sportsman with CRFL - Adult Nonresident,,13,,,13
2011,Lifetime Unified Sportsman with CRFL - Adult Resident,570,11,3,,584
2011,Lifetime Unified Sportsman with CRFL - Age 65,5166,7,1,,5174
2011,Lifetime Unified Sportsman with CRFL - Disabled Veteran,419,4,15,,438
2011,Lifetime Unified Sportsman with CRFL - Infant,3141,87,,,3228
2011,Lifetime Unified Sportsman with CRFL - Totally Disabled,379,1,1,,381
2011,Lifetime Unified Sportsman with CRFL - Youth,364,7,,,371
2011,Year Total,284091,148107,6847,202,439247
2012,10 Day CRFL - Nonresident,891,135761,154,15,136821
2012,10 Day CRFL - Resident,45962,157,956,61,47136
2012,Annual CRFL - Nonresident,650,17910,37,4,18601
2012,Annual CRFL - Resident,126085,273,5415,89,131862
2012,Annual Inland Fishing/CRFL - Subsistance Waiver,34793,8,6,3,34810
2012,Annual Unified Inland Fishing/CRFL,26335,69,781,35,27220
2012,Annual Unified Sportsman with CRFL,41673,78,895,8,42654
2012,Lifetime CRFL - Adult NC Resident,186,,,,186
2012,Lifetime CRFL - Adult Nonresident,,13,,,13
2012,Lifetime CRFL - Age 65,7322,6,2,,7330
2012,Lifetime CRFL - Disabled Veteran,663,,18,,681
2012,Lifetime CRFL - Infant,55,6,,,61
2012,Lifetime CRFL - Totally Disabled,707,,1,,708
2012,Lifetime CRFL - Youth,44,3,,,47
2012,Lifetime Unified Inland Fishing/CRFL,200,,,,200
2012,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,435,,,,435
2012,Lifetime Unified Inland Fishing/CRFL - Blind,120,,,,120
2012,Lifetime Unified Sportsman with CRFL - Adult Nonresident,1,21,,,22
2012,Lifetime Unified Sportsman with CRFL - Adult Resident,568,7,2,,577
2012,Lifetime Unified Sportsman with CRFL - Age 65,6038,7,,,6045
2012,Lifetime Unified Sportsman with CRFL - Disabled Veteran,501,2,15,,518
2012,Lifetime Unified Sportsman with CRFL - Infant,3327,78,1,,3406
2012,Lifetime Unified Sportsman with CRFL - Totally Disabled,408,1,2,,411
2012,Lifetime Unified Sportsman with CRFL - Youth,420,12,,1,433
2012,Year Total,297384,154412,8285,216,460297
2013,10 Day CRFL - Nonresident,623,142180,75,18,142896
2013,10 Day CRFL - Resident,48899,102,1236,72,50309
2013,Annual CRFL - Nonresident,415,18982,21,5,19423
2013,Annual CRFL - Resident,127148,111,5759,102,133120
2013,Annual Inland Fishing/CRFL - Subsistance Waiver,36665,4,8,2,36679
2013,Annual Unified Inland Fishing/CRFL,28497,35,954,44,29530
2013,Annual Unified Sportsman with CRFL,44467,32,1079,10,45588
2013,Lifetime CRFL - Adult NC Resident,178,,,,178
2013,Lifetime CRFL - Adult Nonresident,,12,,,12
2013,Lifetime CRFL - Age 65,7270,5,2,1,7278
2013,Lifetime CRFL - Disabled Veteran,676,,26,,702
2013,Lifetime CRFL - Infant,69,11,,,80
2013,Lifetime CRFL - Totally Disabled,658,,,,658
2013,Lifetime CRFL - Youth,41,12,,,53
2013,Lifetime Unified Inland Fishing/CRFL,267,1,,,268
2013,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,409,,,,409
2013,Lifetime Unified Inland Fishing/CRFL - Blind,115,,,,115
2013,Lifetime Unified Sportsman with CRFL - Adult Nonresident,,20,,,20
2013,Lifetime Unified Sportsman with CRFL - Adult Resident,744,2,5,,751
2013,Lifetime Unified Sportsman with CRFL - Age 65,6530,2,1,,6533
2013,Lifetime Unified Sportsman with CRFL - Disabled Veteran,717,2,43,1,763
2013,Lifetime Unified Sportsman with CRFL - Infant,3515,113,,1,3629
2013,Lifetime Unified Sportsman with CRFL - Totally Disabled,456,,1,,457
2013,Lifetime Unified Sportsman with CRFL - Youth,529,20,,,549
2013,Year Total,308888,161646,9210,256,480000
2014,10 Day CRFL - Nonresident,1740,143662,300,16,145718
2014,10 Day CRFL - Resident,48439,351,1590,59,50439
2014,Annual CRFL - Nonresident,1184,18637,48,3,19872
2014,Annual CRFL - Resident,124027,657,6200,104,130988
2014,Annual Inland Fishing/CRFL - Subsistance Waiver,38869,15,10,1,38895
2014,Annual Unified Inland Fishing/CRFL,31193,187,1205,41,32626
2014,Annual Unified Sportsman with CRFL,43627,213,1022,11,44873
2014,Lifetime CRFL - Adult NC Resident,192,2,1,,195
2014,Lifetime CRFL - Adult Nonresident,1,12,,,13
2014,Lifetime CRFL - Age 65,3973,8,4,,3985
2014,Lifetime CRFL - Disabled Veteran,742,1,17,,760
2014,Lifetime CRFL - Infant,76,3,,,79
2014,Lifetime CRFL - Totally Disabled,651,,,,651
2014,Lifetime CRFL - Youth,56,,,,56
2014,Lifetime Senior CRFL,3218,3,3,,3224
2014,Lifetime Senior Unified Sportsman with CRFL,3179,5,,,3184
2014,Lifetime Unified Inland Fishing/CRFL,268,3,,1,272
2014,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,365,,,,365
2014,Lifetime Unified Inland Fishing/CRFL - Blind,81,,,,81
2014,Lifetime Unified Sportsman with CRFL - Adult Nonresident,,21,,,21
2014,Lifetime Unified Sportsman with CRFL - Adult Resident,1003,10,3,,1016
2014,Lifetime Unified Sportsman with CRFL - Age 65,3099,7,,,3106
2014,Lifetime Unified Sportsman with CRFL - Disabled Veteran,768,10,32,,810
2014,Lifetime Unified Sportsman with CRFL - Infant,3984,135,,,4119
2014,Lifetime Unified Sportsman with CRFL - Totally Disabled,410,1,1,,412
2014,Lifetime Unified Sportsman with CRFL - Youth,507,20,,,527
2014,Year Total,311652,163963,10436,236,486287
2015,10 Day CRFL - Nonresident,1381,142320,277,20,143998
2015,10 Day CRFL - Resident,46528,273,1818,50,48669
2015,Annual CRFL - Nonresident,941,19452,49,7,20449
2015,Annual CRFL - Resident,118611,440,5875,85,125011
2015,Annual Inland Fishing/CRFL - Subsistance Waiver,41282,14,11,2,41309
2015,Annual Unified Inland Fishing/CRFL,32914,132,1038,28,34112
2015,Annual Unified Sportsman with CRFL,42679,145,857,11,43692
2015,Lifetime CRFL - Adult NC Resident,214,1,,,215
2015,Lifetime CRFL - Adult Nonresident,,10,,,10
2015,Lifetime CRFL - Disabled Veteran,856,4,10,,870
2015,Lifetime CRFL - Infant,53,8,,,61
2015,Lifetime CRFL - Totally Disabled,594,2,,,596
2015,Lifetime CRFL - Youth,61,9,,,70
2015,Lifetime Senior CRFL,6835,9,5,,6849
2015,Lifetime Senior Unified Sportsman with CRFL,6645,8,3,,6656
2015,Lifetime Unified Inland Fishing/CRFL,374,,1,,375
2015,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,262,,,,262
2015,Lifetime Unified Inland Fishing/CRFL - Blind,103,,,,103
2015,Lifetime Unified Sportsman with CRFL - Adult Nonresident,,12,,,12
2015,Lifetime Unified Sportsman with CRFL - Adult Resident,1052,11,6,1,1070
2015,Lifetime Unified Sportsman with CRFL - Disabled Veteran,878,4,24,1,907
2015,Lifetime Unified Sportsman with CRFL - Infant,4415,142,1,,4558
2015,Lifetime Unified Sportsman with CRFL - Totally Disabled,449,,,,449
2015,Lifetime Unified Sportsman with CRFL - Youth,519,22,,,541
2015,Year Total,307646,163018,9975,205,480844
2016,10 Day CRFL - Nonresident,1011,137141,265,10,138427
2016,10 Day CRFL - Resident,44842,175,1894,62,46973
2016,Annual CRFL - Nonresident,697,19633,41,3,20374
2016,Annual CRFL - Resident,114251,266,5825,74,120416
2016,Annual Inland Fishing/CRFL - Subsistance Waiver,38524,8,10,2,38544
2016,Annual Unified Inland Fishing/CRFL,35010,71,1188,35,36304
2016,Annual Unified Sportsman with CRFL,41820,78,898,11,42807
2016,Lifetime CRFL - Adult NC Resident,281,,,,281
2016,Lifetime CRFL - Adult Nonresident,,10,,,10
2016,Lifetime CRFL - Disabled Veteran,763,,12,,775
2016,Lifetime CRFL - Infant,74,7,,,81
2016,Lifetime CRFL - Totally Disabled,598,,,,598
2016,Lifetime CRFL - Youth,61,8,,,69
2016,Lifetime Senior CRFL,6657,6,7,,6670
2016,Lifetime Senior Unified Sportsman with CRFL,6907,5,,,6912
2016,Lifetime Unified Inland Fishing/CRFL,416,1,1,,418
2016,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,321,1,,,322
2016,Lifetime Unified Inland Fishing/CRFL - Blind,48,,,,48
2016,Lifetime Unified Sportsman with CRFL - Adult Nonresident,,14,1,,15
2016,Lifetime Unified Sportsman with CRFL - Adult Resident,1094,8,2,,1104
2016,Lifetime Unified Sportsman with CRFL - Disabled Veteran,813,6,13,1,833
2016,Lifetime Unified Sportsman with CRFL - Infant,4666,127,2,,4795
2016,Lifetime Unified Sportsman with CRFL - Totally Disabled,381,1,1,,383
2016,Lifetime Unified Sportsman with CRFL - Youth,529,16,,,545
2016,Year Total,299764,157582,10160,198,467704
2017,10 Day CRFL - Nonresident,639,138457,183,6,139285
2017,10 Day CRFL - Resident,45180,138,1962,69,47349
2017,Annual CRFL - Nonresident,462,21525,43,4,22034
2017,Annual CRFL - Resident,113241,110,5570,80,119001
2017,Annual Inland Fishing/CRFL - Subsistance Waiver,33957,3,9,3,33972
2017,Annual Unified Inland Fishing/CRFL,38526,36,1360,47,39969
2017,Annual Unified Sportsman with CRFL,42165,27,916,7,43115
2017,Lifetime CRFL - Adult NC Resident,298,,2,,300
2017,Lifetime CRFL - Adult Nonresident,,18,,,18
2017,Lifetime CRFL - Disabled Veteran,773,1,15,,789
2017,Lifetime CRFL - Infant,77,8,,,85
2017,Lifetime CRFL - Totally Disabled,578,,1,,579
2017,Lifetime CRFL - Youth,104,6,,,110
2017,Lifetime Senior CRFL,7130,14,3,1,7148
2017,Lifetime Senior Unified Sportsman with CRFL,6924,8,1,,6933
2017,Lifetime Unified Inland Fishing/CRFL,457,1,1,,459
2017,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,235,,,,235
2017,Lifetime Unified Inland Fishing/CRFL - Blind,77,,,,77
2017,Lifetime Unified Sportsman with CRFL - Adult Nonresident,,17,,,17
2017,Lifetime Unified Sportsman with CRFL - Adult Resident,1133,9,5,1,1148
2017,Lifetime Unified Sportsman with CRFL - Disabled Veteran,931,,35,,966
2017,Lifetime Unified Sportsman with CRFL - Infant,4912,144,2,,5058
2017,Lifetime Unified Sportsman with CRFL - Totally Disabled,361,,,,361
2017,Lifetime Unified Sportsman with CRFL - Youth,550,13,,,563
2017,Year Total,298710,160535,10108,218,469571
2018,10 Day CRFL - Nonresident,241,129739,38,4,130022
2018,10 Day CRFL - Resident,37987,28,1958,78,40051
2018,Annual CRFL - Nonresident,76,21125,7,2,21210
2018,Annual CRFL - Resident,98712,24,4684,82,103502
2018,Annual Inland Fishing/CRFL - Subsistance Waiver,29977,2,5,3,29987
2018,Annual Unified Inland Fishing/CRFL,38459,7,1708,58,40232
2018,Annual Unified Sportsman with CRFL,40793,12,885,13,41703
2018,Lifetime CRFL - Adult NC Resident,286,,,,286
2018,Lifetime CRFL - Adult Nonresident,,15,1,,16
2018,Lifetime CRFL - Disabled Veteran,733,1,22,,756
2018,Lifetime CRFL - Infant,67,11,,,78
2018,Lifetime CRFL - Totally Disabled,439,,,,439
2018,Lifetime CRFL - Youth,88,7,,,95
2018,Lifetime Senior CRFL,5726,4,2,,5732
2018,Lifetime Senior Unified Sportsman with CRFL,5717,1,1,,5719
2018,Lifetime Unified Inland Fishing/CRFL,572,,1,1,574
2018,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,238,1,,,239
2018,Lifetime Unified Inland Fishing/CRFL - Blind,53,,,,53
2018,Lifetime Unified Sportsman with CRFL - Adult Nonresident,,13,,,13
2018,Lifetime Unified Sportsman with CRFL - Adult Resident,1197,5,7,1,1210
2018,Lifetime Unified Sportsman with CRFL - Disabled Veteran,941,,46,,987
2018,Lifetime Unified Sportsman with CRFL - Infant,4991,151,3,,5145
2018,Lifetime Unified Sportsman with CRFL - Totally Disabled,333,,,,333
2018,Lifetime Unified Sportsman with CRFL - Youth,529,19,,,548
2018,Year Total,268155,151165,9368,242,428930
2019,10 Day CRFL - Nonresident,992,133042,323,11,134368
2019,10 Day CRFL - Resident,42212,341,2087,84,44724
2019,Annual CRFL - Nonresident,971,21446,66,5,22488
2019,Annual CRFL - Resident,109534,274,4695,86,114589
2019,Annual CRFL - Resident - Fire Fighter,3,,,,3
2019,Annual Inland Fishing/CRFL - Subsistance Waiver,30464,6,8,1,30479
2019,Annual Unified Inland Fishing/CRFL,45768,113,1882,58,47821
2019,Annual Unified Sportsman with CRFL,42918,72,881,5,43876
2019,Annual Unified Sportsman with CRFL - Fire Fighter,354,1,,,355
2019,Lifetime CRFL - Adult NC Resident,364,,1,,365
2019,Lifetime CRFL - Adult Nonresident,,10,,,10
2019,Lifetime CRFL - Disabled Veteran,880,2,12,,894
2019,Lifetime CRFL - Infant,82,9,,,91
2019,Lifetime CRFL - Totally Disabled,535,,,,535
2019,Lifetime CRFL - Youth,88,3,,,91
2019,Lifetime Senior CRFL,4652,5,1,,4658
2019,Lifetime Senior Unified Sportsman with CRFL,3213,7,,,3220
2019,Lifetime Unified Inland Fishing/CRFL,657,,2,1,660
2019,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,207,,,,207
2019,Lifetime Unified Inland Fishing/CRFL - Blind,56,,,,56
2019,Lifetime Unified Inland Fishing/CRFL - Fire Fighter,11,,,,11
2019,Lifetime Unified Sportsman with CRFL - Adult Nonresident,,22,,,22
2019,Lifetime Unified Sportsman with CRFL - Adult Resident,1390,7,5,,1402
2019,Lifetime Unified Sportsman with CRFL - Disabled Veteran,1034,7,31,,1072
2019,Lifetime Unified Sportsman with CRFL - Infant,5486,144,1,,5631
2019,Lifetime Unified Sportsman with CRFL - Totally Disabled,336,,,,336
2019,Lifetime Unified Sportsman with CRFL - Youth,613,21,1,,635
2019,Year Total,292820,155532,9996,251,458599
2020,10 Day CRFL - Nonresident,698,139053,304,8,140063
2020,10 Day CRFL - Resident,46371,252,2176,80,48879
2020,Annual CRFL - Nonresident,726,24947,65,2,25740
2020,Annual CRFL - Resident,106212,126,3434,98,109870
2020,Annual CRFL - Resident - Fire Fighter,11,,,,11
2020,Annual Inland Fishing/CRFL - Subsistance Waiver,20182,3,4,,20189
2020,Annual Unified Inland Fishing/CRFL,82059,92,4793,115,87059
2020,Annual Unified Sportsman with CRFL,46299,38,954,8,47299
2020,Annual Unified Sportsman with CRFL - Fire Fighter,518,,,,518
2020,Annual Unified Totally Disabled Sportsman with CRFL,1,,,,1
2020,Lifetime CRFL - Adult NC Resident,545,1,,,546
2020,Lifetime CRFL - Adult Nonresident,,25,,,25
2020,Lifetime CRFL - Disabled Veteran,847,1,15,,863
2020,Lifetime CRFL - Infant,92,14,,,106
2020,Lifetime CRFL - Totally Disabled,436,,3,,439
2020,Lifetime CRFL - Youth,107,3,,,110
2020,Lifetime Senior CRFL,3797,4,2,,3803
2020,Lifetime Senior Unified Sportsman with CRFL,1924,2,,,1926
2020,Lifetime Unified Inland Fishing/CRFL,1180,,,,1180
2020,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,82,,,,82
2020,Lifetime Unified Inland Fishing/CRFL - Blind,33,,,,33
2020,Lifetime Unified Inland Fishing/CRFL - Fire Fighter,26,,,,26
2020,Lifetime Unified Sportsman with CRFL - Adult Nonresident,,23,1,,24
2020,Lifetime Unified Sportsman with CRFL - Adult Resident,1580,11,6,1,1598
2020,Lifetime Unified Sportsman with CRFL - Disabled Veteran,1172,2,32,1,1207
2020,Lifetime Unified Sportsman with CRFL - Infant,5176,136,1,,5313
2020,Lifetime Unified Sportsman with CRFL - Totally Disabled,387,1,,,388
2020,Lifetime Unified Sportsman with CRFL - Youth,786,19,1,,806
2020,Year Total,321247,164753,11791,313,498104
2021,10 Day CRFL - Nonresident,217,160556,110,3,160886
2021,10 Day CRFL - Resident,43447,70,2300,114,45931
2021,Annual CRFL - Nonresident,136,27014,11,,27161
2021,Annual CRFL - Resident,90394,25,2397,83,92899
2021,Annual CRFL - Resident - Fire Fighter,10,,,,10
2021,Annual Inland Fishing/CRFL - Subsistance Waiver,23201,,5,2,23208
2021,Annual Unified Inland Fishing/CRFL,88430,11,4359,125,92925
2021,Annual Unified Sportsman with CRFL,47042,5,973,14,48034
2021,Annual Unified Sportsman with CRFL - Fire Fighter,287,,,,287
2021,Lifetime CRFL - Adult NC Resident,684,2,2,3,691
2021,Lifetime CRFL - Adult Nonresident,1,45,1,,47
2021,Lifetime CRFL - Disabled Veteran,884,,18,,902
2021,Lifetime CRFL - Infant,95,17,,,112
2021,Lifetime CRFL - Totally Disabled,482,,1,,483
2021,Lifetime CRFL - Youth,125,11,,,136
2021,Lifetime Senior CRFL,3408,1,2,1,3412
2021,Lifetime Senior Unified Sportsman with CRFL,1611,,1,,1612
2021,Lifetime Unified Inland Fishing/CRFL,1594,,1,,1595
2021,Lifetime Unified Inland Fishing/CRFL - Adult Care Home,189,,,,189
2021,Lifetime Unified Inland Fishing/CRFL - Blind,41,,,,41
2021,Lifetime Unified Inland Fishing/CRFL - Fire Fighter,34,,,,34
2021,Lifetime Unified Sportsman with CRFL - Adult Nonresident,,29,,,29
2021,Lifetime Unified Sportsman with CRFL - Adult Resident,1871,3,11,1,1886
2021,Lifetime Unified Sportsman with CRFL - Disabled Veteran,1470,,37,,1507
2021,Lifetime Unified Sportsman with CRFL - Infant,5967,169,,,6136
2021,Lifetime Unified Sportsman with CRFL - Totally Disabled,366,,,,366
2021,Lifetime Unified Sportsman with CRFL - Youth,939,40,,,979
2021,Resident Age 50 & Older Unified Sportsman/CRFL,2176,,1,,2177
2021,Year Total,315101,187998,10230,346,513675
